# sigma=0.20, r=0.05, T=1, K=100, domain [-3,3]
# primal: N_x=256 fixed; ultraweak: N_x=128 fixed
solver,N_x,N_t,dt,price_ATM,exact_ATM,ATM_error,L2_error,Linf_error,EOC_L2,EOC_Linf,plateau_flag
primal,256,25,4.000000e-02,10.4041007300,10.4505835722,4.648284e-02,6.933126e-02,1.358685e-01,,,1
primal,256,50,2.000000e-02,10.4250232000,10.4505835722,2.556037e-02,6.857293e-02,1.364159e-01,0.0159,-0.0058,1
primal,256,100,1.000000e-02,10.4355783300,10.4505835722,1.500524e-02,6.897654e-02,1.361518e-01,-0.0085,0.0028,1
primal,256,200,5.000000e-03,10.4399712600,10.4505835722,1.061231e-02,4.759712e-02,1.537305e-01,0.5352,-0.1752,1
primal,256,400,2.500000e-03,10.4433596100,10.4505835722,7.223962e-03,6.545980e-02,1.388549e-01,-0.4597,0.1468,1
primal,256,800,1.250000e-03,10.4448042200,10.4505835722,5.779352e-03,7.112387e-02,1.356770e-01,-0.1197,0.0334,1
ultraweak,128,25,4.000000e-02,10.5571542400,10.4505835722,1.065707e-01,4.100089e-02,4.495141e-01,,,1
ultraweak,128,50,2.000000e-02,10.5523977600,10.4505835722,1.018142e-01,3.235954e-02,3.123483e-01,0.3415,0.5252,1
ultraweak,128,100,1.000000e-02,10.5497572600,10.4505835722,9.917369e-02,3.371770e-02,3.530109e-01,-0.0593,-0.1766,1
ultraweak,128,200,5.000000e-03,10.5493163300,10.4505835722,9.873276e-02,4.325718e-02,4.956418e-01,-0.3594,-0.4896,1
ultraweak,128,400,2.500000e-03,10.5515279600,10.4505835722,1.009444e-01,5.831669e-02,6.694363e-01,-0.4310,-0.4336,1
ultraweak,128,800,1.250000e-03,10.5546876300,10.4505835722,1.041041e-01,7.348980e-02,8.362208e-01,-0.3336,-0.3209,1
