x,S,Delta_DPG,Delta_exact
-2.994140625,5.007964579,4.460802199e-06,1.036244274e-48
-2.982421875,5.066996881,1.060794333e-05,2.446227119e-48
-2.970703125,5.126725037,8.191373887e-06,5.755025034e-48
-2.958984375,5.187157249,-9.336374672e-07,1.349315533e-47
-2.947265625,5.248301818,-6.116024443e-06,3.152795043e-47
-2.935546875,5.310167139,-1.108729345e-05,7.341654284e-47
-2.923828125,5.372761709,-1.119988691e-05,1.703758942e-46
-2.912109375,5.436094124,-5.524043757e-06,3.940383124e-46
-2.900390625,5.500173081,-5.177420665e-06,9.082071021e-46
-2.888671875,5.565007381,-9.413533137e-06,2.086159625e-45
-2.876953125,5.630605927,-3.393551793e-06,4.775583418e-45
-2.865234375,5.696977728,8.706665596e-06,1.089485995e-44
-2.853515625,5.764131898,1.19463399e-05,2.477041283e-44
-2.841796875,5.832077661,1.077364356e-05,5.612563592e-44
-2.830078125,5.900824347,1.151194325e-05,1.267376948e-43
-2.818359375,5.970381397,9.794071005e-06,2.852114083e-43
-2.806640625,6.040758364,5.766370741e-06,6.396532437e-43
-2.794921875,6.111964912,1.260544298e-06,1.429680545e-42
-2.783203125,6.18401082,-5.939860728e-06,3.184565313e-42
-2.771484375,6.256905983,-1.037344092e-05,7.06932797e-42
-2.759765625,6.330660411,-6.277682477e-06,1.563950431e-41
-2.748046875,6.405284232,-1.33557908e-06,3.448139187e-41
-2.736328125,6.480787696,-3.035268959e-06,7.576412471e-41
-2.724609375,6.55718117,-1.460213608e-06,1.65905017e-40
-2.712890625,6.634475147,6.00837872e-06,3.620533619e-40
-2.701171875,6.712680241,8.181897142e-06,7.874135369e-40
-2.689453125,6.791807191,6.281425148e-06,1.706673586e-39
-2.677734375,6.871866865,5.438823475e-06,3.686510095e-39
-2.666015625,6.952870257,-9.495223509e-07,7.935930056e-39
-2.654296875,7.034828492,-1.06166034e-05,1.702541682e-38
-2.642578125,7.117752824,-1.103355557e-05,3.640116368e-38
-2.630859375,7.201654642,-1.157937773e-05,7.756225921e-38
-2.619140625,7.286545468,-1.970501373e-05,1.647037091e-37
-2.607421875,7.37243696,-2.124159728e-05,3.485572596e-37
-2.595703125,7.459340914,-1.627700548e-05,7.351277014e-37
-2.583984375,7.547269264,-1.58381803e-05,1.545145664e-36
-2.572265625,7.636234086,-1.738872276e-05,3.236638017e-36
-2.560546875,7.726247597,-1.521512975e-05,6.756736481e-36
-2.548828125,7.817322159,-1.564930751e-05,1.405717534e-35
-2.537109375,7.909470279,-1.992240398e-05,2.914589912e-35
-2.525390625,8.002704612,-2.279671771e-05,6.02247843e-35
-2.513671875,8.097037961,-2.792792929e-05,1.240199456e-34
-2.501953125,8.192483282,-3.618982242e-05,2.545226259e-34
-2.490234375,8.289053683,-4.222217618e-05,5.205709377e-34
-2.478515625,8.386762425,-4.935948535e-05,1.061089941e-33
-2.466796875,8.485622926,-6.026422945e-05,2.155476655e-33
-2.455078125,8.585648764,-6.778843388e-05,4.363684969e-33
-2.443359375,8.686853675,-7.19900328e-05,8.804049798e-33
-2.431640625,8.789251557,-8.086557614e-05,1.770234177e-32
-2.419921875,8.892856473,-8.954474276e-05,3.547302128e-32
-2.408203125,8.997682651,-9.422260001e-05,7.084104571e-32
-2.396484375,9.103744487,-0.0001032705765,1.409909292e-31
-2.384765625,9.211056546,-0.0001141067993,2.796513429e-31
-2.373046875,9.319633566,-0.0001234105242,5.527926691e-31
-2.361328125,9.429490458,-0.0001362004499,1.088998733e-30
-2.349609375,9.540642307,-0.0001519852381,2.138022709e-30
-2.337890625,9.65310438,-0.0001664454528,4.183282556e-30
-2.326171875,9.766892119,-0.0001819099913,8.157219356e-30
-2.314453125,9.882021153,-0.0002007735869,1.585211625e-29
-2.302734375,9.998507291,-0.000218462666,3.070100796e-29
-2.291015625,10.11636653,-0.0002335777192,5.92568296e-29
-2.279296875,10.23561506,-0.000251044247,1.139842108e-28
-2.267578125,10.35626925,-0.0002698672688,2.185101454e-28
-2.255859375,10.47834567,-0.000287257855,4.1746422e-28
-2.244140625,10.6018611,-0.0003057968404,7.948547538e-28
-2.232421875,10.72683248,-0.0003239995762,1.508263703e-27
-2.220703125,10.85327699,-0.0003427697036,2.85225201e-27
-2.208984375,10.98121198,-0.0003634695056,5.375510909e-27
