# Session 2: Gamma recovery — 4 methods — ultraweak DPG V2
# K=100.0 T=1.0 r=0.05 sigma=0.2 N_t=1000 domain[-3,3]
# Gamma_exact_ATM = 0.0187620173
# method: raw_FD | LSQ_P2 | LSQ_P3 | L2proj_P2
N_x,h,method,Gamma_h,Gamma_exact,Gamma_error,EOC_Gamma
64,0.09375,L2proj_P2,0.018155978055722742,0.018762017345846895,0.0003669731329917029,0.00221874357504036
128,0.046875,L2proj_P2,0.018674144884452747,0.018762017345846895,0.00021691891167191388,
256,0.0234375,L2proj_P2,0.018848541294960032,0.018762017345846895,8.273271638514358e-05,
512,0.01171875,L2proj_P2,0.018971385644194972,0.018762017345846895,8.260557821797819e-05,
64,0.09375,LSQ_P2,0.016444009435501526,0.018762017345846895,0.0007353952786363918,0.758518606494477
128,0.046875,LSQ_P2,0.01808552303420321,0.018762017345846895,0.00019974717788239364,
256,0.0234375,LSQ_P2,0.018578977213853112,0.018762017345846895,5.2573188424353e-05,
512,0.01171875,LSQ_P2,0.018714453286626957,0.018762017345846895,5.389750746777622e-05,
64,0.09375,LSQ_P3,0.01787248006355206,0.018762017345846895,0.0001795271027598744,1.3906259807472994
128,0.046875,LSQ_P3,0.01857688894699975,0.018762017345846895,2.7668382239343788e-05,
256,0.0234375,LSQ_P3,0.01871304446231872,0.018762017345846895,1.0588203814081327e-05,
512,0.01171875,LSQ_P3,0.018748977669913118,0.018762017345846895,5.2423017225662665e-05,
64,0.09375,raw_FD,0.017645791616455107,0.018762017345846895,0.0002705176246810359,
128,0.046875,raw_FD,0.018449929112860947,0.018762017345846895,7.250472682895841e-05,
256,0.0234375,raw_FD,0.018674738360766423,0.018762017345846895,2.094599689198733e-05,
512,0.01171875,raw_FD,0.018739324577718708,0.018762017345846895,5.266783682892925e-05,
