# V4 manufactured solution: u_exact=exp(-tau)*sin(pi*x1)*sin(pi*x2)
# Domain [-1,1]^2, sigma1=sigma2=0.2, r=0.05, T=1, Nt=100
# DPG: ultraweak p=1 (L2(0) trial u), delta_p=2
# EOC computed as log2(err_prev/err_curr) between consecutive N
rho,N,h,ndof,L2_error,Linf_error,EOC_L2,EOC_Linf
0.0000000000e+00,8,2.5000000000e-01,417,1.3346289767e-01,1.2555742411e-01,nan,nan
0.0000000000e+00,16,1.2500000000e-01,1601,6.0800300002e-02,5.6804643588e-02,1.1342883849e+00,1.1442665614e+00
0.0000000000e+00,32,6.2500000000e-02,6273,3.0011764852e-02,3.1128684036e-02,1.0185502827e+00,8.6776428179e-01
0.0000000000e+00,64,3.1250000000e-02,24833,1.4898740653e-02,1.6491048121e-02,1.0103377706e+00,9.1656149320e-01
0.0000000000e+00,128,1.5625000000e-02,98817,7.3952384559e-03,7.4332758949e-03,1.0105218169e+00,1.1496130335e+00
5.0000000000e-01,8,2.5000000000e-01,417,1.3804899165e-01,1.3593113959e-01,nan,nan
5.0000000000e-01,16,1.2500000000e-01,1601,6.2347796022e-02,6.2385971261e-02,1.1467698829e+00,1.1235824400e+00
5.0000000000e-01,32,6.2500000000e-02,6273,3.0751935569e-02,3.4388084980e-02,1.0196613436e+00,8.5931286998e-01
5.0000000000e-01,64,3.1250000000e-02,24833,1.5202940265e-02,1.9122478455e-02,1.0163268491e+00,8.4663925419e-01
5.0000000000e-01,128,1.5625000000e-02,98817,7.4515424318e-03,8.4725710864e-03,1.0287393772e+00,1.1743977811e+00
-5.0000000000e-01,8,2.5000000000e-01,417,1.3812084749e-01,1.3654425306e-01,nan,nan
-5.0000000000e-01,16,1.2500000000e-01,1601,6.2352097270e-02,6.1910659100e-02,1.1474210991e+00,1.1411088712e+00
-5.0000000000e-01,32,6.2500000000e-02,6273,3.0699766074e-02,3.4483923885e-02,1.0222104246e+00,8.4426387194e-01
-5.0000000000e-01,64,3.1250000000e-02,24833,1.5152995335e-02,1.8814137125e-02,1.0186246591e+00,8.7410682190e-01
-5.0000000000e-01,128,1.5625000000e-02,98817,7.4394705258e-03,8.2516795385e-03,1.0263311513e+00,1.1890574254e+00
