N_x,N_y,hx,hy,ndof_total,price_atm,price_at_s0,rho,S1_0,S2_0
8,8,0.75,0.75,417,-0.4849865562,-0.4849865562,0,100,100
16,16,0.375,0.375,1601,0.3591378576,0.3591378576,0,100,100
16,16,0.375,0.375,1601,0.3399047075,0.3399047075,0,100,100
16,16,0.375,0.375,1601,5.62593979,5.62593979,0,100,100
32,32,0.1875,0.1875,6273,4.159026606,4.159026606,0,100,100
32,32,0.1875,0.1875,6273,5.526777559,5.526777559,0.5,100,100
32,32,0.1875,0.1875,6273,3.743123945,8.077811146,0,100,100
32,32,0.1875,0.1875,6273,2.22512901,2.22512901,-0.8,100,100
32,32,0.1875,0.1875,6273,3.951075275,8.526578432,0,100,100
32,32,0.1875,0.1875,6273,2.917478753,2.917478753,-0.5,100,100
32,32,0.1875,0.1875,6273,4.159026606,4.159026606,0,100,100
32,32,0.1875,0.1875,6273,3.648429738,3.648429738,-0.2,100,100
32,32,0.1875,0.1875,6273,4.366977936,1.472052024,0,100,100
32,32,0.1875,0.1875,6273,4.159026606,4.159026606,0,100,100
32,32,0.1875,0.1875,6273,4.6899066,4.6899066,0.2,100,100
32,32,0.1875,0.1875,6273,4.574929266,1.542149739,0,100,100
32,32,0.1875,0.1875,6273,5.526777559,5.526777559,0.5,100,100
32,32,0.1875,0.1875,6273,4.974099803,9.944173214,0.5,100,100
32,32,0.1875,0.1875,6273,6.416612074,6.416612074,0.8,100,100
32,32,0.1875,0.1875,6273,5.250438681,10.49662728,0.5,100,100
32,32,0.1875,0.1875,6273,6.725889595,6.725889595,0.9,100,100
32,32,0.1875,0.1875,6273,6.883019479,6.883019479,0.95,100,100
32,32,0.1875,0.1875,6273,5.526777559,5.526777559,0.5,100,100
32,32,0.1875,0.1875,6273,4.159026606,4.159026606,0,100,100
32,32,0.1875,0.1875,6273,5.803116437,2.398393424,0.5,100,100
32,32,0.1875,0.1875,6273,6.079455315,2.512602635,0.5,100,100
32,32,0.1875,0.1875,6273,5.526777559,5.526777559,0.5,100,100
32,32,0.1875,0.1875,6273,3.743123945,8.077811146,0,100,100
32,32,0.1875,0.1875,6273,3.951075275,8.526578432,0,100,100
32,32,0.1875,0.1875,6273,4.159026606,4.159026606,0,100,100
32,32,0.1875,0.1875,6273,4.366977936,1.472052024,0,100,100
32,32,0.1875,0.1875,6273,4.574929266,1.542149739,0,100,100
32,32,0.1875,0.1875,6273,4.974099803,9.944173214,0.5,100,100
32,32,0.1875,0.1875,6273,5.250438681,10.49662728,0.5,100,100
32,32,0.1875,0.1875,6273,5.526777559,5.526777559,0.5,100,100
32,32,0.1875,0.1875,6273,5.803116437,2.398393424,0.5,100,100
32,32,0.1875,0.1875,6273,6.079455315,2.512602635,0.5,100,100
8,8,0.75,0.75,417,10.23486726,10.23486726,0,100,100
16,16,0.375,0.375,1601,5.635519927,5.635519927,0,100,100
32,32,0.1875,0.1875,6273,4.159026606,4.159026606,0,100,100
32,32,0.1875,0.1875,6273,4.159026606,4.159026606,0,100,100
64,64,0.09375,0.09375,24833,3.650971042,3.650971042,0,100,100
64,64,0.09375,0.09375,24833,3.650971042,3.650971042,0,100,100
32,32,0.1875,0.1875,6273,5.526777559,5.526777559,0.5,100,100
64,64,0.09375,0.09375,24833,5.564282577,5.564282577,0.5,100,100
64,64,0.09375,0.09375,24833,3.590595543,3.590595543,0,100,100
64,64,0.09375,0.09375,24833,3.590595543,3.590595543,0,100,100
64,64,0.09375,0.09375,24833,3.590595543,3.590595543,0,100,100
64,64,0.09375,0.09375,24833,3.590595539,3.590595539,0,100,100
64,64,0.09375,0.09375,24833,3.590595539,3.590595539,0,100,100
64,64,0.09375,0.09375,24833,3.590595539,3.590595539,0,100,100
64,64,0.09375,0.09375,24833,3.590596064,3.590596064,0,100,100
64,64,0.09375,0.09375,24833,3.590596064,3.590596064,0,100,100
64,64,0.09375,0.09375,24833,3.590596064,3.590596064,0,100,100
64,64,0.09375,0.09375,24833,3.590595747,3.590595747,0,100,100
64,64,0.09375,0.09375,24833,3.590595747,3.590595747,0,100,100
64,64,0.09375,0.09375,24833,3.590595747,3.590595747,0,100,100
64,64,0.09375,0.09375,24833,5.564282577,5.564282577,0.5,100,100
64,64,0.09375,0.09375,24833,5.564282577,5.564282577,0.5,100,100
8,8,1,1,417,43.8246807,43.8246807,0.5,100,100
16,16,0.5,0.5,1601,21.56327883,21.56327883,0.5,100,100
32,32,0.25,0.25,6273,12.51372247,12.51372247,0.5,100,100
64,64,0.125,0.125,24833,8.916075241,8.916075241,0.5,100,100
128,128,0.0625,0.0625,98817,7.993125466,7.993125466,0.5,100,100
128,128,0.046875,0.046875,98817,0.882763338,0.882763338,-0.8,100,100
128,128,0.046875,0.046875,98817,1.754887401,1.754887401,-0.5,100,100
128,128,0.046875,0.046875,98817,3.375619523,3.375619523,0,100,100
128,128,0.046875,0.046875,98817,4.547879457,4.547879457,0.3,100,100
128,128,0.046875,0.046875,98817,5.477965728,5.477965728,0.5,100,100
128,128,0.046875,0.046875,98817,7.274164832,7.274164832,0.8,100,100
16,16,0.375,0.375,1601,5.635519927,5.635519927,0,100,100
32,32,0.1875,0.1875,6273,4.159026606,4.159026606,0,100,100
64,64,0.09375,0.09375,24833,3.650971043,3.650971043,0,100,100
128,128,0.046875,0.046875,98817,3.375619523,3.375619523,0,100,100
64,64,0.09375,0.09375,24833,3.590595546,3.590595546,0,100,100
64,64,0.09375,0.09375,24833,3.590595546,3.590595546,0,100,100
64,64,0.09375,0.09375,24833,3.590595546,3.590595546,0,100,100
64,64,0.09375,0.09375,24833,3.590595537,3.590595537,0,100,100
64,64,0.09375,0.09375,24833,3.590595537,3.590595537,0,100,100
64,64,0.09375,0.09375,24833,3.590595537,3.590595537,0,100,100
64,64,0.09375,0.09375,24833,3.590596064,3.590596064,0,100,100
64,64,0.09375,0.09375,24833,3.590596064,3.590596064,0,100,100
64,64,0.09375,0.09375,24833,3.590596064,3.590596064,0,100,100
64,64,0.09375,0.09375,24833,3.590595747,3.590595747,0,100,100
64,64,0.09375,0.09375,24833,3.590595747,3.590595747,0,100,100
