# V5 barrier near-barrier evaluation (Nx=400, Nt=1000)
# Paper params: K=100, T=0.5, r=0.1, sigma=0.2, S_L=95, S_U=125
# MC: n=200_000, seed=42 at S_MC={95.01,100,110,120,124.99}
S,x,monitoring,u_DPG,mc_ref,mc_se,abs_error
95.00000,-0.0512932944,weekly,0.7760835833,nan,nan,nan
95.00000,-0.0512932944,daily,0.4393404659,nan,nan,nan
95.00000,-0.0512932944,european,5.3031705831,nan,nan,nan
95.00001,-0.0512931891,weekly,0.7760929660,nan,nan,nan
95.00001,-0.0512931891,daily,0.4393457774,nan,nan,nan
95.00001,-0.0512931891,european,5.3031757884,nan,nan,nan
95.00010,-0.0512922418,weekly,0.7761774109,nan,nan,nan
95.00010,-0.0512922418,daily,0.4393935816,nan,nan,nan
95.00010,-0.0512922418,european,5.3032226361,nan,nan,nan
95.00100,-0.0512827681,weekly,0.7770218552,nan,nan,nan
95.00100,-0.0512827681,daily,0.4398716211,nan,nan,nan
95.00100,-0.0512827681,european,5.3036911100,nan,nan,nan
95.01000,-0.0511880368,weekly,0.7854658586,1.0343118385,0.0081005521,0.2488459799
95.01000,-0.0511880368,daily,0.4446517665,0.4399978426,0.0053428253,0.0046539238
95.01000,-0.0511880368,european,5.3083756047,nan,nan,nan
100.00000,0.0000000000,weekly,3.0793292390,3.0097288592,0.0127922831,0.0696003798
100.00000,0.0000000000,daily,2.4565202550,2.4969813060,0.0117500360,0.0404610510
100.00000,0.0000000000,european,8.2745223600,nan,nan,nan
110.00000,0.0953101798,weekly,4.1206664334,4.1214737875,0.0143856508,0.0008073541
110.00000,0.0953101798,daily,3.3963004102,3.6138916479,0.0135613324,0.2175912377
110.00000,0.0953101798,european,16.0220600487,nan,nan,nan
120.00000,0.1823215568,weekly,1.8942962384,2.0418445503,0.0112759781,0.1475483119
120.00000,0.1823215568,daily,1.3791567452,1.5740208212,0.0098780812,0.1948640760
120.00000,0.1823215568,european,25.1939691722,nan,nan,nan
124.99000,0.2230635481,weekly,0.1215671083,0.6947513851,0.0069256651,0.5731842767
124.99000,0.2230635481,daily,0.0653039905,0.2884273696,0.0044461720,0.2231233791
124.99000,0.2230635481,european,30.0242213403,nan,nan,nan
124.99900,0.2231355513,weekly,0.1170468737,nan,nan,nan
124.99900,0.2231355513,daily,0.0628757896,nan,nan,nan
124.99900,0.2231355513,european,30.0329492607,nan,nan,nan
124.99990,0.2231427513,weekly,0.1165948681,nan,nan,nan
124.99990,0.2231427513,daily,0.0626329791,nan,nan,nan
124.99990,0.2231427513,european,30.0338220181,nan,nan,nan
124.99999,0.2231434713,weekly,0.1165496677,nan,nan,nan
124.99999,0.2231434713,daily,0.0626086982,nan,nan,nan
124.99999,0.2231434713,european,30.0339092935,nan,nan,nan
125.00000,0.2231435513,weekly,0.1165446455,nan,nan,nan
125.00000,0.2231435513,daily,0.0626060003,nan,nan,nan
125.00000,0.2231435513,european,30.0339189908,nan,nan,nan
