# V5 barrier projection consistency check
# Nx=200, Nt=500, daily (n_monitor=125)
# Expected: max_violation=0 (interior nodes zeroed exactly)
tau_j,n_violated_nodes,max_violation
0.004000,0,0.000000e+00
0.008000,0,0.000000e+00
0.012000,0,0.000000e+00
0.016000,0,0.000000e+00
0.020000,0,0.000000e+00
0.024000,0,0.000000e+00
0.028000,0,0.000000e+00
0.032000,0,0.000000e+00
0.036000,0,0.000000e+00
0.040000,0,0.000000e+00
0.044000,0,0.000000e+00
0.048000,0,0.000000e+00
0.052000,0,0.000000e+00
0.056000,0,0.000000e+00
0.060000,0,0.000000e+00
0.064000,0,0.000000e+00
0.068000,0,0.000000e+00
0.072000,0,0.000000e+00
0.076000,0,0.000000e+00
0.080000,0,0.000000e+00
0.084000,0,0.000000e+00
0.088000,0,0.000000e+00
0.092000,0,0.000000e+00
0.096000,0,0.000000e+00
0.100000,0,0.000000e+00
0.104000,0,0.000000e+00
0.108000,0,0.000000e+00
0.112000,0,0.000000e+00
0.116000,0,0.000000e+00
0.120000,0,0.000000e+00
0.124000,0,0.000000e+00
0.128000,0,0.000000e+00
0.132000,0,0.000000e+00
0.136000,0,0.000000e+00
0.140000,0,0.000000e+00
0.144000,0,0.000000e+00
0.148000,0,0.000000e+00
0.152000,0,0.000000e+00
0.156000,0,0.000000e+00
0.160000,0,0.000000e+00
0.164000,0,0.000000e+00
0.168000,0,0.000000e+00
0.172000,0,0.000000e+00
0.176000,0,0.000000e+00
0.180000,0,0.000000e+00
0.184000,0,0.000000e+00
0.188000,0,0.000000e+00
0.192000,0,0.000000e+00
0.196000,0,0.000000e+00
0.200000,0,0.000000e+00
0.204000,0,0.000000e+00
0.208000,0,0.000000e+00
0.212000,0,0.000000e+00
0.216000,0,0.000000e+00
0.220000,0,0.000000e+00
0.224000,0,0.000000e+00
0.228000,0,0.000000e+00
0.232000,0,0.000000e+00
0.236000,0,0.000000e+00
0.240000,0,0.000000e+00
0.244000,0,0.000000e+00
0.248000,0,0.000000e+00
0.252000,0,0.000000e+00
0.256000,0,0.000000e+00
0.260000,0,0.000000e+00
0.264000,0,0.000000e+00
0.268000,0,0.000000e+00
0.272000,0,0.000000e+00
0.276000,0,0.000000e+00
0.280000,0,0.000000e+00
0.284000,0,0.000000e+00
0.288000,0,0.000000e+00
0.292000,0,0.000000e+00
0.296000,0,0.000000e+00
0.300000,0,0.000000e+00
0.304000,0,0.000000e+00
0.308000,0,0.000000e+00
0.312000,0,0.000000e+00
0.316000,0,0.000000e+00
0.320000,0,0.000000e+00
0.324000,0,0.000000e+00
0.328000,0,0.000000e+00
0.332000,0,0.000000e+00
0.336000,0,0.000000e+00
0.340000,0,0.000000e+00
0.344000,0,0.000000e+00
0.348000,0,0.000000e+00
0.352000,0,0.000000e+00
0.356000,0,0.000000e+00
0.360000,0,0.000000e+00
0.364000,0,0.000000e+00
0.368000,0,0.000000e+00
0.372000,0,0.000000e+00
0.376000,0,0.000000e+00
0.380000,0,0.000000e+00
0.384000,0,0.000000e+00
0.388000,0,0.000000e+00
0.392000,0,0.000000e+00
0.396000,0,0.000000e+00
0.400000,0,0.000000e+00
0.404000,0,0.000000e+00
0.408000,0,0.000000e+00
0.412000,0,0.000000e+00
0.416000,0,0.000000e+00
0.420000,0,0.000000e+00
0.424000,0,0.000000e+00
0.428000,0,0.000000e+00
0.432000,0,0.000000e+00
0.436000,0,0.000000e+00
0.440000,0,0.000000e+00
0.444000,0,0.000000e+00
0.448000,0,0.000000e+00
0.452000,0,0.000000e+00
0.456000,0,0.000000e+00
0.460000,0,0.000000e+00
0.464000,0,0.000000e+00
0.468000,0,0.000000e+00
0.472000,0,0.000000e+00
0.476000,0,0.000000e+00
0.480000,0,0.000000e+00
0.484000,0,0.000000e+00
0.488000,0,0.000000e+00
0.492000,0,0.000000e+00
0.496000,0,0.000000e+00
0.500000,0,0.000000e+00
