# V5 barrier spatial refinement: Nt=1000 fixed
# Paper params: K=100, T=0.5, r=0.1, sigma=0.2, S_L=95, S_U=125
# Weekly: 26 monitoring dates; Daily: 125 monitoring dates
# MC: n=1_000_000, seed=42, 95% CI = price +/- 1.96*se
monitoring,Nx,h,Nt,price_S100,mc_ref,mc_se,mc_95ci_low,mc_95ci_high,abs_error,rel_error,EOC,mc_noise_flag
weekly,50,0.120000,1000,2.5028397330,2.9994155569,5.706282e-03,2.988231,3.010600,4.965758e-01,1.655575e-01,nan,0
weekly,100,0.060000,1000,2.3063591505,2.9994155569,5.706282e-03,2.988231,3.010600,6.930564e-01,2.310638e-01,-0.4810,0
weekly,200,0.030000,1000,3.0828999012,2.9994155569,5.706282e-03,2.988231,3.010600,8.348434e-02,2.783354e-02,3.0534,0
weekly,400,0.015000,1000,3.0793292392,2.9994155569,5.706282e-03,2.988231,3.010600,7.991368e-02,2.664308e-02,0.0631,0
weekly,800,0.007500,1000,3.0578206706,2.9994155569,5.706282e-03,2.988231,3.010600,5.840511e-02,1.947216e-02,0.4523,0
daily,50,0.120000,1000,2.2573739478,2.4783913462,5.233256e-03,2.468134,2.488649,2.210174e-01,8.917776e-02,nan,0
daily,100,0.060000,1000,1.9328260876,2.4783913462,5.233256e-03,2.468134,2.488649,5.455653e-01,2.201288e-01,-1.3036,0
daily,200,0.030000,1000,2.5384702117,2.4783913462,5.233256e-03,2.468134,2.488649,6.007887e-02,2.424107e-02,3.1828,0
daily,400,0.015000,1000,2.4565202555,2.4783913462,5.233256e-03,2.468134,2.488649,2.187109e-02,8.824712e-03,1.4578,0
daily,800,0.007500,1000,2.4001557541,2.4783913462,5.233256e-03,2.468134,2.488649,7.823559e-02,3.156709e-02,-1.8388,0
