monitoring,Nx,Nt_per_interval,total_Nt,price_S100,mc_ref,mc_se,abs_error,rel_error,EOC
weekly,400,1,26,3.2496921719,2.9994155569,5.706282e-03,2.502766e-01,8.344179e-02,nan
weekly,400,2,52,3.1666981939,2.9994155569,5.706282e-03,1.672826e-01,5.577174e-02,0.5812
weekly,400,4,104,3.1206391158,2.9994155569,5.706282e-03,1.212236e-01,4.041573e-02,0.4646
weekly,400,8,208,3.0964626577,2.9994155569,5.706282e-03,9.704710e-02,3.235534e-02,0.3209
weekly,400,16,416,3.0840239329,2.9994155569,5.706282e-03,8.460838e-02,2.820829e-02,0.1979
daily,400,1,125,2.5466633399,2.4783913462,5.233256e-03,6.827199e-02,2.754690e-02,nan
daily,400,2,250,2.4972116768,2.4783913462,5.233256e-03,1.882033e-02,7.593769e-03,1.8590
daily,400,4,500,2.4704209145,2.4783913462,5.233256e-03,7.970432e-03,3.215970e-03,1.2396
daily,400,8,1000,2.4565202555,2.4783913462,5.233256e-03,2.187109e-02,8.824712e-03,-1.4563
daily,400,16,2000,2.4494652334,2.4783913462,5.233256e-03,2.892611e-02,1.167133e-02,-0.4033
