sigma,r,K,S0,N_z,h,N_t,dt,ndof,U_z0,price,delta
0.05,0.09,95,100,200,0.02,400,0.0025,201,0.08921078891,8.921078891,0.9229806017
0.05,0.09,100,100,200,0.02,400,0.0025,201,0.04934635971,4.934635971,0.746711164
0.05,0.09,105,100,200,0.02,400,0.0025,201,0.02134080227,2.134080227,0.5261656543
0.1,0.09,95,100,200,0.02,400,0.0025,201,0.091586621,9.1586621,0.879852408
0.1,0.09,100,100,200,0.02,400,0.0025,201,0.05483417873,5.483417873,0.6952171018
0.1,0.09,105,100,200,0.02,400,0.0025,201,0.02839575137,2.839575137,0.5184694074
0.2,0.09,95,100,200,0.02,400,0.0025,201,0.1027263978,10.27263978,0.7783630389
0.2,0.09,100,100,200,0.02,400,0.0025,201,0.07143647602,7.143647602,0.6270372843
0.2,0.09,105,100,200,0.02,400,0.0025,201,0.04726599714,4.726599714,0.514148884
0.3,0.09,95,100,200,0.02,400,0.0025,201,0.1187806438,11.87806438,0.7132354557
0.3,0.09,100,100,200,0.02,400,0.0025,201,0.09085812774,9.085812774,0.5972690617
0.3,0.09,105,100,200,0.02,400,0.0025,201,0.06810228742,6.810228742,0.517360542
0.05,0.15,95,100,200,0.02,400,0.0025,201,0.1111409492,11.11409492,0.9175989075
0.05,0.15,100,100,200,0.02,400,0.0025,201,0.07044462462,7.044462462,0.8317056507
0.05,0.15,105,100,200,0.02,400,0.0025,201,0.03694574517,3.694574517,0.6795510049
0.1,0.15,95,100,200,0.02,400,0.0025,201,0.1122784549,11.22784549,0.8934645811
0.1,0.15,100,100,200,0.02,400,0.0025,201,0.0739678618,7.39678618,0.776873001
0.1,0.15,105,100,200,0.02,400,0.0025,201,0.0431224628,4.31224628,0.6376557542
0.2,0.15,95,100,200,0.02,400,0.0025,201,0.120021835,12.0021835,0.8078458413
0.2,0.15,100,100,200,0.02,400,0.0025,201,0.08721263912,8.721263912,0.6848788744
0.2,0.15,105,100,200,0.02,400,0.0025,201,0.06051058693,6.051058693,0.5845335422
0.3,0.15,95,100,200,0.02,400,0.0025,201,0.1333603711,13.33603711,0.7388592557
0.3,0.15,100,100,200,0.02,400,0.0025,201,0.1044290184,10.44290184,0.6365262285
0.3,0.15,105,100,200,0.02,400,0.0025,201,0.08018179874,8.018179874,0.5627585951
0.1,0.09,100,100,800,0.005,2000,0.0005,801,0.05036315515,5.036315515,0.7387593785
0.1,0.09,100,100,50,0.08,2000,0.0005,51,0.05115886046,5.115886046,0.8076190604
0.1,0.09,100,100,100,0.04,2000,0.0005,101,0.04931580314,4.931580314,0.7190085124
0.1,0.09,100,100,200,0.02,2000,0.0005,201,0.05020554311,5.020554311,0.7354674931
0.1,0.09,100,100,400,0.01,2000,0.0005,401,0.05033671722,5.033671722,0.7380942519
