# Spatial refinement: Nt=800 fixed. MC: n=500000, n_steps=500, seed=42, 95% CI = price +/- 1.96*se
sigma,K,Nz,h,Nt,price,reference_price,abs_error,rel_error,EOC,mc_se,mc_95ci_low,mc_95ci_high
0.05,95.0,50,0.080000,800,8.1122600035,8.8218316834,7.095717e-01,8.043360e-02,nan,3.949051e-03,8.814092,8.829572
0.05,95.0,100,0.040000,800,8.7270859682,8.8218316834,9.474572e-02,1.073991e-02,2.7668,3.949051e-03,8.814092,8.829572
0.05,95.0,200,0.020000,800,8.8362207547,8.8218316834,1.438907e-02,1.631075e-03,5.0289,3.949051e-03,8.814092,8.829572
0.05,95.0,400,0.010000,800,8.8320934203,8.8218316834,1.026174e-02,1.163221e-03,1.8756,3.949051e-03,8.814092,8.829572
0.05,95.0,800,0.005000,800,8.8329772958,8.8218316834,1.114561e-02,1.263412e-03,nan,3.949051e-03,8.814092,8.829572
0.05,100.0,50,0.080000,800,4.7132429919,4.3206589791,3.925840e-01,9.086207e-02,nan,3.762126e-03,4.313285,4.328033
0.05,100.0,100,0.040000,800,4.4407205596,4.3206589791,1.200616e-01,2.778779e-02,-1.0180,3.762126e-03,4.313285,4.328033
0.05,100.0,200,0.020000,800,4.5950966445,4.3206589791,2.744377e-01,6.351755e-02,2.7008,3.762126e-03,4.313285,4.328033
0.05,100.0,400,0.010000,800,4.6193846834,4.3206589791,2.987257e-01,6.913892e-02,2.8948,3.762126e-03,4.313285,4.328033
0.05,100.0,800,0.005000,800,4.6231575530,4.3206589791,3.024986e-01,7.001214e-02,nan,3.762126e-03,4.313285,4.328033
0.05,105.0,50,0.080000,800,2.0170336405,0.9646038932,1.052430e+00,1.091049e+00,nan,2.200852e-03,0.960290,0.968918
0.05,105.0,100,0.040000,800,1.7266157130,0.9646038932,7.620118e-01,7.899738e-01,2.0743,2.200852e-03,0.960290,0.968918
0.05,105.0,200,0.020000,800,1.6572650486,0.9646038932,6.926612e-01,7.180783e-01,2.1008,2.200852e-03,0.960290,0.968918
0.05,105.0,400,0.010000,800,1.6326277922,0.9646038932,6.680239e-01,6.925370e-01,2.5683,2.200852e-03,0.960290,0.968918
0.05,105.0,800,0.005000,800,1.6361824431,0.9646038932,6.715785e-01,6.962221e-01,nan,2.200852e-03,0.960290,0.968918
0.1,95.0,50,0.080000,800,8.5714855293,8.9285896457,3.571041e-01,3.999558e-02,nan,7.626621e-03,8.913641,8.943538
0.1,95.0,100,0.040000,800,8.9800564409,8.9285896457,5.146680e-02,5.764269e-03,3.4269,7.626621e-03,8.913641,8.943538
0.1,95.0,200,0.020000,800,9.0224275208,8.9285896457,9.383788e-02,1.050982e-02,6.4315,7.626621e-03,8.913641,8.943538
0.1,95.0,400,0.010000,800,9.0199308334,8.9285896457,9.134119e-02,1.023019e-02,-2.0513,7.626621e-03,8.913641,8.943538
0.1,95.0,800,0.005000,800,9.0219422253,8.9285896457,9.335258e-02,1.045547e-02,nan,7.626621e-03,8.913641,8.943538
0.1,100.0,50,0.080000,800,5.2933650996,4.9283282393,3.650369e-01,7.406910e-02,nan,6.603909e-03,4.915385,4.941272
0.1,100.0,100,0.040000,800,5.1283394981,4.9283282393,2.000113e-01,4.058400e-02,-0.1222,6.603909e-03,4.915385,4.941272
0.1,100.0,200,0.020000,800,5.2003756088,4.9283282393,2.720474e-01,5.520074e-02,2.6222,6.603909e-03,4.915385,4.941272
0.1,100.0,400,0.010000,800,5.2119018743,4.9283282393,2.835736e-01,5.753952e-02,2.5157,6.603909e-03,4.915385,4.941272
0.1,100.0,800,0.005000,800,5.2143446208,4.9283282393,2.860164e-01,5.803517e-02,nan,6.603909e-03,4.915385,4.941272
0.1,105.0,50,0.080000,800,2.6341129105,2.0789593030,5.551536e-01,2.670344e-01,nan,4.656910e-03,2.069832,2.088087
0.1,105.0,100,0.040000,800,2.5131302623,2.0789593030,4.341710e-01,2.088405e-01,2.1008,4.656910e-03,2.069832,2.088087
0.1,105.0,200,0.020000,800,2.4913971613,2.0789593030,4.124379e-01,1.983867e-01,1.2896,4.656910e-03,2.069832,2.088087
0.1,105.0,400,0.010000,800,2.4743785102,2.0789593030,3.954192e-01,1.902006e-01,2.9300,4.656910e-03,2.069832,2.088087
0.1,105.0,800,0.005000,800,2.4763525990,2.0789593030,3.973933e-01,1.911501e-01,nan,4.656910e-03,2.069832,2.088087
0.2,95.0,50,0.080000,800,10.0034107180,10.0154958919,1.208517e-02,1.206648e-03,nan,1.367644e-02,9.988690,10.042302
0.2,95.0,100,0.040000,800,10.1325969430,10.0154958919,1.171011e-01,1.169199e-02,6.6867,1.367644e-02,9.988690,10.042302
0.2,95.0,200,0.020000,800,10.1361105090,10.0154958919,1.206146e-01,1.204280e-02,-1.9369,1.367644e-02,9.988690,10.042302
0.2,95.0,400,0.010000,800,10.1298616950,10.0154958919,1.143658e-01,1.141889e-02,1.6712,1.367644e-02,9.988690,10.042302
0.2,95.0,800,0.005000,800,10.1313549110,10.0154958919,1.158590e-01,1.156798e-02,nan,1.367644e-02,9.988690,10.042302
0.2,100.0,50,0.080000,800,7.0379235098,6.7926816401,2.452419e-01,3.610384e-02,nan,1.195145e-02,6.769257,6.816106
0.2,100.0,100,0.040000,800,6.9368140910,6.7926816401,1.441325e-01,2.121878e-02,1.2799,1.195145e-02,6.769257,6.816106
0.2,100.0,200,0.020000,800,6.9599303446,6.7926816401,1.672487e-01,2.462190e-02,2.2094,1.195145e-02,6.769257,6.816106
0.2,100.0,400,0.010000,800,6.9650644774,6.7926816401,1.723828e-01,2.537773e-02,2.3590,1.195145e-02,6.769257,6.816106
0.2,100.0,800,0.005000,800,6.9663075313,6.7926816401,1.736259e-01,2.556073e-02,nan,1.195145e-02,6.769257,6.816106
0.2,105.0,50,0.080000,800,4.5090381873,4.3103542100,1.986840e-01,4.609458e-02,nan,9.881122e-03,4.290987,4.329721
0.2,105.0,100,0.040000,800,4.5316124253,4.3103542100,2.212582e-01,5.133179e-02,-2.7087,9.881122e-03,4.290987,4.329721
0.2,105.0,200,0.020000,800,4.5211669622,4.3103542100,2.108128e-01,4.890845e-02,1.1000,9.881122e-03,4.290987,4.329721
0.2,105.0,400,0.010000,800,4.5110567012,4.3103542100,2.007025e-01,4.656288e-02,3.2256,9.881122e-03,4.290987,4.329721
0.2,105.0,800,0.005000,800,4.5120331661,4.3103542100,2.016790e-01,4.678942e-02,nan,9.881122e-03,4.290987,4.329721
0.3,95.0,50,0.080000,800,11.7312637540,11.6777092490,5.355450e-02,4.586045e-03,nan,1.952677e-02,11.639437,11.715982
0.3,95.0,100,0.040000,800,11.7714820610,11.6777092490,9.377281e-02,8.030069e-03,2.3136,1.952677e-02,11.639437,11.715982
0.3,95.0,200,0.020000,800,11.7694138060,11.6777092490,9.170456e-02,7.852958e-03,0.5292,1.952677e-02,11.639437,11.715982
0.3,95.0,400,0.010000,800,11.7636925580,11.6777092490,8.598331e-02,7.363029e-03,2.1465,1.952677e-02,11.639437,11.715982
0.3,95.0,800,0.005000,800,11.7647466670,11.6777092490,8.703742e-02,7.453296e-03,nan,1.952677e-02,11.639437,11.715982
0.3,100.0,50,0.080000,800,9.0361345069,8.8488025225,1.873320e-01,2.117032e-02,nan,1.762462e-02,8.814258,8.883347
0.3,100.0,100,0.040000,800,8.9414537315,8.8488025225,9.265121e-02,1.047048e-02,2.0113,1.762462e-02,8.814258,8.883347
0.3,100.0,200,0.020000,800,8.9559336138,8.8488025225,1.071311e-01,1.210685e-02,2.1171,1.762462e-02,8.814258,8.883347
0.3,100.0,400,0.010000,800,8.9594110085,8.8488025225,1.106085e-01,1.249983e-02,2.3341,1.762462e-02,8.814258,8.883347
0.3,100.0,800,0.005000,800,8.9602712769,8.8488025225,1.114688e-01,1.259704e-02,nan,1.762462e-02,8.814258,8.883347
0.3,105.0,50,0.080000,800,6.6565404853,6.5364682577,1.200722e-01,1.836959e-02,nan,1.555430e-02,6.505982,6.566955
0.3,105.0,100,0.040000,800,6.6759464840,6.5364682577,1.394782e-01,2.133847e-02,-1.1966,1.555430e-02,6.505982,6.566955
0.3,105.0,200,0.020000,800,6.6686051510,6.5364682577,1.321369e-01,2.021533e-02,1.1308,1.555430e-02,6.505982,6.566955
0.3,105.0,400,0.010000,800,6.6617492587,6.5364682577,1.252810e-01,1.916647e-02,3.1688,1.555430e-02,6.505982,6.566955
0.3,105.0,800,0.005000,800,6.6624353268,6.5364682577,1.259671e-01,1.927143e-02,nan,1.555430e-02,6.505982,6.566955
