sigma,Nz,Nt,dt,price,reference_price,abs_error,rel_error,EOC,mc_se,mc_95ci_low,mc_95ci_high
0.1,800,50,0.020000,8.2340569945,4.9209834351,3.313074e+00,6.732544e-01,nan,4.663526e-03,4.911843,4.930124
0.1,800,100,0.010000,6.8672410049,4.9209834351,1.946258e+00,3.955018e-01,0.7675,4.663526e-03,4.911843,4.930124
0.1,800,200,0.005000,6.0047271223,4.9209834351,1.083744e+00,2.202291e-01,0.8447,4.663526e-03,4.911843,4.930124
0.1,800,400,0.002500,5.4956077333,4.9209834351,5.746243e-01,1.167702e-01,0.9153,4.663526e-03,4.911843,4.930124
0.1,800,800,0.001250,5.2143446208,4.9209834351,2.933612e-01,5.961434e-02,0.9699,4.663526e-03,4.911843,4.930124
0.2,800,50,0.020000,9.2622099921,6.7830260858,2.479184e+00,3.654982e-01,nan,8.436863e-03,6.766490,6.799562
0.2,800,100,0.010000,8.1451494130,6.7830260858,1.362123e+00,2.008135e-01,0.8640,8.436863e-03,6.766490,6.799562
0.2,800,200,0.005000,7.5007458756,6.7830260858,7.177198e-01,1.058111e-01,0.9244,8.436863e-03,6.766490,6.799562
0.2,800,400,0.002500,7.1499177688,6.7830260858,3.668917e-01,5.408968e-02,0.9681,8.436863e-03,6.766490,6.799562
0.2,800,800,0.001250,6.9663075313,6.7830260858,1.832814e-01,2.702060e-02,1.0013,8.436863e-03,6.766490,6.799562
0.3,800,50,0.020000,10.7209343800,8.8351119447,1.885822e+00,2.134464e-01,nan,1.244097e-02,8.810728,8.859496
0.3,800,100,0.010000,9.8294278747,8.8351119447,9.943159e-01,1.125414e-01,0.9234,1.244097e-02,8.810728,8.859496
0.3,800,200,0.005000,9.3440230104,8.8351119447,5.089111e-01,5.760098e-02,0.9663,1.244097e-02,8.810728,8.859496
0.3,800,400,0.002500,9.0901254054,8.8351119447,2.550135e-01,2.886364e-02,0.9968,1.244097e-02,8.810728,8.859496
0.3,800,800,0.001250,8.9602712769,8.8351119447,1.251593e-01,1.416613e-02,1.0268,1.244097e-02,8.810728,8.859496
