# Basket Delta surfaces — N=256, rho=0.0, domain [-6,6]^2
# sigma1=0.2 sigma2=0.2 r=0.05 T=1.0 K=100.0 Nt=500
# ~50x50 subgrid of full 256x256 mesh; 2704 rows
x1,x2,S1,S2,u_DPG,delta1,delta2
-5.9765625,-5.9765625,0.2537534091,0.2537534091,-6.543055077e-09,-3.384415023e-07,-3.379161127e-07
-5.9765625,-5.7421875,0.2537534091,0.3207743656,-1.316892023e-08,-5.603609359e-06,-2.929034039e-07
-5.9765625,-5.5078125,0.2537534091,0.4054967931,-6.179689363e-09,-9.690822997e-06,-2.072424987e-07
-5.9765625,-5.2734375,0.2537534091,0.5125959766,-4.077872818e-09,-1.356220548e-05,-1.709555294e-07
-5.9765625,-5.0390625,0.2537534091,0.6479820303,-4.176757167e-09,-1.65982361e-05,-8.722177181e-08
-5.9765625,-4.8046875,0.2537534091,0.8191260383,6.449418956e-09,-1.839660516e-05,-3.61591465e-08
-5.9765625,-4.5703125,0.2537534091,1.035472336,1.380315372e-08,-1.855014246e-05,5.660873618e-09
-5.9765625,-4.3359375,0.2537534091,1.308959682,1.51455023e-08,-1.64070619e-05,8.349270701e-08
-5.9765625,-4.1015625,0.2537534091,1.654680082,3.944538836e-08,-1.157178652e-05,1.035362752e-07
-5.9765625,-3.8671875,0.2537534091,2.091711616,6.902348464e-08,-4.371885279e-06,7.250618302e-08
-5.9765625,-3.6328125,0.2537534091,2.644171242,6.441227896e-08,4.841907444e-06,7.346652534e-08
-5.9765625,-3.3984375,0.2537534091,3.342545645,6.101167153e-08,1.594055449e-05,8.620467947e-08
-5.9765625,-3.1640625,0.2537534091,4.225373613,4.756959018e-08,2.595110233e-05,4.846347284e-08
-5.9765625,-2.9296875,0.2537534091,5.341372733,1.530738131e-07,3.180715025e-05,2.196276516e-07
-5.9765625,-2.6953125,0.2537534091,6.752127808,6.919571745e-08,5.192193415e-05,2.30158439e-08
-5.9765625,-2.4609375,0.2537534091,8.535489323,5.287230194e-08,5.953608527e-05,1.014871873e-08
-5.9765625,-2.2265625,0.2537534091,10.78986951,3.026417383e-08,6.337037823e-05,-5.393359771e-09
-5.9765625,-1.9921875,0.2537534091,13.6396731,-4.46492752e-08,6.143372442e-05,-7.775732612e-09
-5.9765625,-1.7578125,0.2537534091,17.24216239,-7.935230987e-08,5.392324098e-05,-1.408373958e-08
-5.9765625,-1.5234375,0.2537534091,21.79613556,-8.608618021e-08,3.995127895e-05,-2.390002571e-08
-5.9765625,-1.2890625,0.2537534091,27.55289705,-1.76078701e-07,1.996081414e-05,-2.268288927e-08
-5.9765625,-1.0546875,0.2537534091,34.83012544,-2.64829141e-07,-3.13208447e-06,-1.413905748e-08
-5.9765625,-0.8203125,0.2537534091,44.02940411,-2.519239724e-07,-2.755937569e-05,-1.160248912e-08
-5.9765625,-0.5859375,0.2537534091,55.65838198,-2.495500338e-07,-5.232978712e-05,-1.084532118e-08
-5.9765625,-0.3515625,0.2537534091,70.35878743,-2.991308562e-07,-7.492628083e-05,-6.3597229e-09
-5.9765625,-0.1171875,0.2537534091,88.94184116,-2.596094301e-07,-8.87878353e-05,-3.320985239e-09
-5.9765625,0.1171875,0.2537534091,112.4330222,-4.593788769e-07,-0.0001039646726,-5.846806602e-09
-5.9765625,0.3515625,0.2537534091,142.1286575,-2.265004386e-07,-0.0001178953575,-2.489952849e-10
-5.9765625,0.5859375,0.2537534091,179.6674579,-2.172000837e-07,-0.0001218782389,6.07620059e-10
-5.9765625,0.8203125,0.2537534091,227.120948,-1.287250373e-07,-0.000119603036,1.004449195e-09
-5.9765625,1.0546875,0.2537534091,287.1077802,-7.135027492e-08,-0.0001110716564,1.199061614e-09
-5.9765625,1.2890625,0.2537534091,362.9382414,-6.425149288e-08,-9.705245804e-05,1.573179388e-09
-5.9765625,1.5234375,0.2537534091,458.7969264,1.528932448e-08,-7.926545665e-05,1.373836979e-09
-5.9765625,1.7578125,0.2537534091,579.9736584,1.263281551e-07,-5.985577105e-05,8.505272728e-10
-5.9765625,1.9921875,0.2537534091,733.1554008,1.470930144e-07,-4.037160166e-05,6.791829088e-10
-5.9765625,2.2265625,0.2537534091,926.7952672,1.478560185e-07,-2.053930514e-05,6.511812348e-10
-5.9765625,2.4609375,0.2537534091,1171.578995,2.20339459e-07,-1.181702622e-06,4.670295451e-10
-5.9765625,2.6953125,0.2537534091,1481.01462,2.618684121e-07,1.576305443e-05,2.271003229e-10
-5.9765625,2.9296875,0.2537534091,1872.177903,7.150498656e-07,3.376873159e-05,2.223804576e-10
-5.9765625,3.1640625,0.2537534091,2366.654624,1.543246202e-08,4.592033014e-05,1.246372479e-10
-5.9765625,3.3984375,0.2537534091,2991.73177,3.111650024e-07,5.69067713e-05,9.191733568e-11
-5.9765625,3.6328125,0.2537534091,3781.903321,3.091649137e-07,6.559592979e-05,3.554934881e-11
-5.9765625,3.8671875,0.2537534091,4780.773756,2.804205943e-07,7.079529207e-05,1.150638353e-11
-5.9765625,4.1015625,0.2537534091,6043.464299,2.808866207e-07,7.211469314e-05,-8.35037712e-12
-5.9765625,4.3359375,0.2537534091,7639.654709,2.736613927e-07,6.975324946e-05,-1.99095925e-11
-5.9765625,4.5703125,0.2537534091,9657.428452,2.162318802e-07,6.401203628e-05,-1.867775679e-11
