# Chain rule: x=log(S/K), vartheta=sigma_x/diff=du/dx
# Delta=dV/dS=vartheta/S, Gamma=d2V/dS2=(u_xx-u_x)/S2 (FD approx)
S,x,u_DPG,delta_DPG,gamma_DPG,delta_exact,gamma_exact,delta_error,gamma_error
5.217639967,-2.953125,-2.689332719e-06,-3.697690566e-06,1.716785986e-05,2.063431881e-47,2.864077763e-46,3.697690566e-06,1.716785986e-05
5.730456443,-2.859375,-3.952081227e-06,5.106270834e-06,1.185423443e-05,1.643474225e-44,2.010135352e-43,5.106270834e-06,1.185423443e-05
6.293675158,-2.765625,2.308882581e-06,9.057882848e-06,-1.222848004e-06,1.051927824e-41,1.132504051e-40,9.057882848e-06,1.222848004e-06
6.912249904,-2.671875,1.044684314e-05,3.661117059e-06,-1.034558711e-05,5.411179547e-39,5.121865774e-38,3.661117059e-06,1.034558711e-05
7.591621356,-2.578125,1.167878388e-05,-4.37013261e-06,-8.603262749e-06,2.237262875e-36,1.859476047e-35,4.37013261e-06,8.603262749e-06
8.337764926,-2.484375,4.168794702e-06,-8.602963226e-06,-2.38731536e-06,7.43534643e-34,5.419097313e-33,8.602963226e-06,2.38731536e-06
9.157243322,-2.390625,-6.247746876e-06,-8.107765976e-06,2.092654304e-06,1.986502398e-31,1.26776068e-30,8.107765976e-06,2.092654304e-06
10.05726427,-2.296875,-1.425340294e-05,-5.004645532e-06,2.579291346e-06,4.267076873e-29,2.380792646e-28,5.004645532e-06,2.579291346e-06
11.0457439,-2.203125,-1.745392009e-05,-3.236772789e-06,4.408458006e-07,7.370232326e-27,3.589052682e-26,3.236772789e-06,4.408458006e-07
12.13137638,-2.109375,-1.854187802e-05,-4.090281914e-06,-1.371748328e-06,1.023774105e-24,4.343222318e-24,4.090281914e-06,1.371748328e-06
13.32371041,-2.015625,-2.335612461e-05,-6.361569551e-06,-9.300839467e-07,1.143853891e-22,4.219084795e-22,6.361569551e-06,9.300839467e-07
14.63323316,-1.921875,-3.305664999e-05,-6.41721874e-06,7.729458528e-07,1.028161631e-20,3.290019059e-20,6.41721874e-06,7.729458528e-07
16.07146254,-1.828125,-4.146428589e-05,-4.237705944e-06,1.319026792e-06,7.436511407e-19,2.059456106e-18,4.237705944e-06,1.319026792e-06
17.65104849,-1.734375,-4.521889355e-05,-2.436639473e-06,2.464400902e-07,4.329129754e-17,1.034857694e-16,2.436639473e-06,2.464400901e-07
19.38588426,-1.640625,-4.811747919e-05,-3.420899555e-06,-9.783787099e-07,2.028984281e-15,4.174290715e-15,3.420899557e-06,9.783787141e-07
21.29122862,-1.546875,-5.768682188e-05,-5.998114214e-06,-7.380638841e-07,7.658558947e-14,1.351632785e-13,5.998114291e-06,7.380640192e-07
23.38384001,-1.453125,-7.44696364e-05,-6.371646302e-06,1.9284444e-07,2.32902549e-12,3.513247203e-12,6.371648631e-06,1.928409267e-07
25.68212401,-1.359375,-9.167864294e-05,-5.151354452e-06,4.768732232e-07,5.708994053e-11,7.330484291e-11,5.151411542e-06,4.767999184e-07
28.20629517,-1.265625,-0.0001028949374,-4.071946567e-06,2.268820461e-07,1.128602552e-09,1.227808377e-09,4.073075169e-06,2.256542377e-07
30.97855485,-1.171875,-0.0001102080561,-3.949689386e-06,-3.59718934e-08,1.800550043e-08,1.650830495e-08,3.967694886e-06,5.248019836e-08
34.02328646,-1.078125,-0.0001202439245,-4.281194757e-06,6.495438791e-07,2.320069631e-07,1.781756453e-07,4.51320172e-06,4.713682338e-07
