x,S,Delta_DPG,Delta_exact
-2.8125,6.00546679,-0.0001043321682,4.273081419e-43
-2.4375,8.73790262,-0.0001773568606,1.248940384e-32
-2.0625,12.71357329,-0.0004203231227,1.111993129e-23
-1.6875,18.49813999,-0.001129045182,3.045091548e-16
-1.3125,26.91463487,-0.001851454328,2.607409025e-10
-0.9375,39.16056267,-0.008672786756,7.205626723e-06
-0.5625,56.97828247,-0.01926066875,0.006898608644
-0.1875,82.90291182,0.2965593189,0.2784339752
0.1875,120.6230249,0.8750572153,0.9010399652
0.5625,175.5054657,0.9994331024,0.9992178963
0.9375,255.3589458,0.9957144915,0.9999997642
1.3125,371.5450738,0.9954786112,1
1.6875,540.5948925,0.9969205321,1
2.0625,786.5609274,1.000563775,1
2.4375,1144.439396,1.009298437,1
2.8125,1665.149496,1.016910775,1
