S,delta_DPG_tau01,delta_exact_tau01,delta_DPG_tau025,delta_exact_tau025,delta_DPG_tau05,delta_exact_tau05,delta_DPG_tau10,delta_exact_tau10
5.037394258,-4.200819473e-07,0,9.983996926e-09,3.043377135e-194,5.568494254e-07,3.833788647e-97,1.303601631e-06,1.592813719e-48
5.15685262,-2.044019716e-07,0,2.228623155e-07,3.153200247e-191,6.907589291e-07,1.21380277e-95,1.250281844e-06,8.81588431e-48
5.279143855,1.426509268e-06,0,1.624948075e-06,3.09255974e-188,2.047481783e-06,3.739101367e-94,2.512563987e-06,4.813160395e-47
5.404335144,8.998596102e-07,0,4.18127586e-07,2.871149766e-185,7.438506159e-07,1.120691167e-92,1.136233283e-06,2.592141978e-46
5.532495259,-1.096356199e-06,0,-2.068203907e-06,2.523278842e-182,-1.826199089e-06,3.268170474e-91,-1.546713506e-06,1.377056268e-45
5.663694603,-1.075868646e-06,0,-1.875635657e-06,2.09916585e-179,-1.569514849e-06,9.273078961e-90,-1.454257772e-06,7.216215602e-45
5.79800525,1.963716747e-07,0,-4.500126736e-08,1.653106504e-176,4.506280842e-07,2.560024882e-88,3.421443558e-07,3.730205011e-44
5.935500982,4.480491897e-07,0,5.200874814e-07,1.232332701e-173,1.101812698e-06,6.87647502e-87,6.516468104e-07,1.902049321e-43
6.076257332,-5.88937484e-07,0,-1.246427896e-07,8.696182777e-171,4.42839981e-07,1.797171412e-85,-3.981531586e-07,9.567031789e-43
6.220351622,1.411076563e-06,0,2.111727939e-06,5.80902704e-168,2.61355703e-06,4.569993563e-84,1.326083125e-06,4.746784758e-42
6.36786301,1.320572437e-06,0,2.270808615e-06,3.673268772e-165,2.77449673e-06,1.130692858e-82,8.484480576e-07,2.323214251e-41
6.518872529,7.239924688e-07,0,1.514287352e-06,2.198756395e-162,1.930790131e-06,2.72193165e-81,-8.023390577e-07,1.121623047e-40
6.673463136,-3.220028505e-07,0,1.575055503e-07,1.245882738e-159,3.539007058e-07,6.375493892e-80,-3.343743811e-06,5.341621028e-40
6.831719754,1.556444941e-06,0,1.451398425e-06,6.682722456e-157,1.346660396e-06,1.452964704e-78,-3.477089785e-06,2.509390626e-39
6.993729319,1.171917184e-07,0,-2.709816706e-07,3.393176541e-154,-5.980480808e-07,3.221821541e-77,-6.859100163e-06,1.162875171e-38
7.15958083,6.555502399e-08,0,-6.942981018e-07,1.630935743e-151,-1.309327476e-06,6.951102195e-76,-9.230755814e-06,5.315794037e-38
7.329365397,-5.22356737e-07,0,-1.56018267e-06,7.420705775e-149,-2.576966797e-06,1.459191353e-74,-1.23786665e-05,2.397033056e-37
