S,gamma_DPG_tau01,gamma_exact_tau01,gamma_DPG_tau025,gamma_exact_tau025,gamma_DPG_tau05,gamma_exact_tau05,gamma_DPG_tau10,gamma_exact_tau10
5.037394258,1.805482443e-06,0,1.782029441e-06,8.984237235e-192,1.120972205e-06,5.631930285e-95,-4.463462117e-07,1.158810974e-46
5.15685262,7.63844586e-06,0,6.680317536e-06,9.021238033e-189,6.16601794e-06,1.728040502e-93,5.000886726e-06,6.215343059e-46
5.279143855,4.461978009e-06,0,7.890062983e-07,8.574218858e-186,2.14527013e-07,5.158486644e-92,-4.608348043e-07,3.288164097e-45
5.404335144,-9.957969181e-06,0,-1.457719173e-05,7.713766331e-183,-1.528975494e-05,1.498174667e-90,-1.602232093e-05,1.715843738e-44
5.532495259,-7.617722003e-06,0,-8.843954464e-06,6.568737163e-180,-8.919533823e-06,4.233254063e-89,-9.988033853e-06,8.831568833e-44
5.663694603,4.868848318e-06,0,7.620062172e-06,5.294692979e-177,8.57529754e-06,1.163745365e-87,7.114074516e-06,4.483672212e-43
5.79800525,5.606630133e-06,0,8.814079885e-06,4.039644716e-174,9.828053175e-06,3.112528526e-86,7.747811471e-06,2.245255273e-42
5.935500982,-2.822293922e-06,0,-2.862207598e-07,2.917353466e-171,-2.798938012e-08,8.099169023e-85,-2.660528216e-06,1.109004907e-41
6.076257332,3.380815204e-06,0,5.587631678e-06,1.994244594e-168,5.307147405e-06,2.05040348e-83,2.367684043e-06,5.403026322e-41
6.220351622,6.548260428e-06,0,8.214693972e-06,1.290361175e-165,7.995923696e-06,5.050215887e-82,4.274955225e-06,2.596429721e-40
6.36786301,-2.301628052e-06,0,-2.001335829e-06,7.902921034e-163,-2.287166101e-06,1.210186498e-80,-7.129893186e-06,1.230699242e-39
6.518872529,-5.374916909e-06,0,-6.915255855e-06,4.581497874e-160,-7.92079523e-06,2.821411345e-79,-1.371789965e-05,5.753911365e-39
6.673463136,2.660891345e-06,0,-2.010212071e-07,2.514032154e-157,-1.867140537e-06,6.399591595e-78,-8.549702591e-06,2.653446128e-38
6.831719754,1.371342316e-06,0,-1.337909663e-06,1.305802988e-154,-2.97236748e-06,1.412244383e-76,-1.097635823e-05,1.206961049e-37
6.993729319,-4.547322095e-06,0,-6.544529621e-06,6.419895807e-152,-8.100955137e-06,3.032069827e-75,-1.754909759e-05,5.41517016e-37
7.15958083,-1.905481853e-06,0,-3.841068003e-06,2.987595475e-149,-5.896025031e-06,6.333449136e-74,-1.644509246e-05,2.396441511e-36
7.329365397,3.253322286e-07,0,-3.170118436e-07,1.316009722e-146,-2.71886322e-06,1.287102463e-72,-1.457977191e-05,1.046062016e-35
7.503176288,1.173073633e-06,0,2.847026277e-06,5.487062339e-144,3.871679481e-07,2.544823703e-71,-1.31302304e-05,4.503849859e-35
7.681108986,7.945948795e-07,0,2.942558105e-06,2.165529889e-141,-1.320661139e-07,4.895240429e-70,-1.483442759e-05,1.912697319e-34
7.863261237,2.437950726e-06,0,2.514419624e-06,8.089691534e-139,-1.765274741e-06,9.161405338e-69,-1.698630816e-05,8.012065047e-34
8.049733103,-2.71194413e-06,0,-3.164586647e-06,2.860508438e-136,-8.40147888e-06,1.668099361e-67,-2.447104537e-05,3.310385393e-33
8.240627022,-2.213951373e-06,0,-2.683283408e-06,9.57410081e-134,-9.108465208e-06,2.954972742e-66,-2.616334672e-05,1.3491136e-32
8.436047861,1.946665697e-06,0,-1.280484184e-07,3.033166498e-131,-8.182955053e-06,5.092801955e-65,-2.544498179e-05,5.423184211e-32
8.636102971,8.589864955e-07,0,-3.766790845e-06,9.095739139e-129,-1.304625375e-05,8.5394882e-64,-2.962826066e-05,2.150285199e-31
8.840902251,-4.981077507e-06,8.85566228e-318,-1.048779984e-05,2.581803791e-126,-2.014592508e-05,1.393088295e-62,-3.600390742e-05,8.409567244e-31
9.050558206,-3.870463566e-06,1.154199743e-311,-9.480345443e-06,6.936684841e-124,-1.947866546e-05,2.211043005e-61,-3.475674177e-05,3.244046737e-30
9.265186008,1.251620791e-06,1.311290697e-305,-5.453066944e-06,1.764103998e-121,-1.590811142e-05,3.414188395e-60,-3.021647587e-05,1.234344625e-29
9.484903563,-1.192858106e-06,1.298600949e-299,-8.376237812e-06,4.246585735e-119,-1.851235682e-05,5.129198655e-59,-3.147581799e-05,4.632566166e-29
9.709831569,-5.402649872e-06,1.121014372e-293,-1.227091484e-05,9.676072207e-117,-2.146596355e-05,7.496927371e-58,-3.29681369e-05,1.714915417e-28
9.940093589,-6.374010082e-06,8.435394038e-288,-1.305237858e-05,2.086900755e-114,-2.133676652e-05,1.066077636e-56,-3.141591461e-05,6.261806616e-28
10.17581612,-4.809869946e-06,5.532969767e-282,-1.177055444e-05,4.260376529e-112,-1.92277401e-05,1.474911997e-55,-2.796161378e-05,2.255238467e-27
10.41712864,-7.14555685e-06,3.163515371e-276,-1.309885745e-05,8.232612273e-110,-1.959911942e-05,1.985249656e-54,-2.746070238e-05,8.011635141e-27
10.66416373,-6.651969166e-06,1.576668277e-270,-1.189231689e-05,1.505812273e-107,-1.781356597e-05,2.599775798e-53,-2.509600493e-05,2.807279977e-26
10.91705708,-6.507542389e-06,6.849666698e-265,-1.231890071e-05,2.607038799e-105,-1.796457561e-05,3.312290425e-52,-2.447842352e-05,9.702556181e-26
11.17594763,-8.433566052e-06,2.593924183e-259,-1.450683012e-05,4.272358109e-103,-1.961778516e-05,4.10575157e-51,-2.531079135e-05,3.307672306e-25
11.44097759,-7.298881081e-06,8.5625643e-254,-1.213857506e-05,6.627218557e-101,-1.660899423e-05,4.951407521e-50,-2.200516389e-05,1.112230143e-24
11.71229255,-1.689578657e-06,2.463820943e-248,-5.524748131e-06,9.730573334e-99,-9.854337933e-06,5.809468779e-49,-1.532385995e-05,3.688949566e-24
11.99004157,7.417302719e-07,6.179782187e-243,-2.916994882e-06,1.352349854e-96,-7.246783892e-06,6.631563278e-48,-1.253084211e-05,1.206831528e-23
12.27437721,-2.679015759e-06,1.351126223e-237,-5.54069956e-06,1.779029618e-94,-9.369124953e-06,7.364905177e-47,-1.427657835e-05,3.894273507e-23
12.56545568,-3.472498098e-06,2.575001027e-232,-5.308511906e-06,2.215240026e-92,-8.471789199e-06,7.95774736e-46,-1.308626643e-05,1.239487426e-22
12.86343687,-4.893683374e-07,4.277771859e-227,-1.668366354e-06,2.610970067e-90,-4.381646926e-06,8.365364722e-45,-8.790584909e-06,3.891290681e-22
13.16848449,2.013725817e-06,6.194646965e-222,1.128259602e-06,2.912906119e-88,-1.203286802e-06,8.55561749e-44,-5.357697274e-06,1.204983487e-21
13.4807661,4.383331205e-07,7.819414431e-217,2.448523525e-07,3.076058383e-86,-1.53046011e-06,8.513136257e-43,-5.400100442e-06,3.680479384e-21
13.80045325,3.860708085e-07,8.603806431e-212,4.611994658e-07,3.074724101e-84,-8.323147216e-07,8.24137271e-42,-4.328511158e-06,1.108826398e-20
14.12772157,7.177097808e-07,8.252124273e-207,7.661208252e-07,2.909117223e-82,-1.086280567e-07,7.762136429e-41,-3.122706685e-06,3.295024108e-20
14.46275083,3.754194562e-07,6.899214017e-202,6.441166354e-07,2.605312257e-80,2.053193586e-07,7.112703974e-40,-2.302878878e-06,9.658051334e-20
14.80572508,-8.565440403e-07,5.027964513e-197,-3.173341824e-07,2.208522537e-78,-5.344299576e-07,6.34103196e-39,-2.675299884e-06,2.79226283e-19
15.15683274,-2.928616062e-08,3.194063304e-192,4.861628168e-07,1.772096548e-76,1.80305021e-07,5.49992663e-38,-1.787193781e-06,7.962674334e-19
15.51626667,3.020504839e-06,1.768697508e-187,3.433299463e-06,1.345911226e-74,3.067660367e-06,4.641149902e-37,1.271254578e-06,2.239739377e-18
15.88422433,3.370471306e-06,8.537335278e-183,3.753483952e-06,9.6758459e-73,3.58339965e-06,3.810360278e-36,2.198717505e-06,6.214009171e-18
16.26090785,8.868177793e-07,3.592111757e-178,6.338649945e-07,6.584229529e-71,6.782286321e-07,3.043534524e-35,-6.342449954e-08,1.700521657e-17
16.64652417,-2.792276176e-06,1.317455853e-173,-3.574864659e-06,4.240962896e-69,-3.361949728e-06,2.365168953e-34,-3.615880559e-06,4.590165216e-17
17.04128511,-3.575566343e-06,4.211928904e-169,-4.166185522e-06,2.585636531e-67,-3.838696758e-06,1.788207254e-33,-4.009022873e-06,1.222110121e-16
17.44540754,-2.478587318e-06,1.173774638e-164,-2.25999476e-06,1.492155105e-65,-1.959618384e-06,1.315361969e-32,-2.355113112e-06,3.209432431e-16
17.85911346,6.432319794e-07,2.851327744e-160,1.315180289e-06,8.150869773e-64,1.320403877e-06,9.413355395e-32,6.61809795e-07,8.313463718e-16
18.28263013,3.76494498e-06,6.037654917e-156,4.646227268e-06,4.214416285e-62,4.348467038e-06,6.554134897e-31,3.550890148e-06,2.124083805e-15
18.71619021,5.117119644e-06,1.114418117e-151,6.079816581e-06,2.062597087e-60,5.759585326e-06,4.439745154e-30,5.086270317e-06,5.352999002e-15
19.16003187,2.423235567e-06,1.793026751e-147,2.887294805e-06,9.555091724e-59,2.746288827e-06,2.925987414e-29,2.478705064e-06,1.330633797e-14
