# Chain rule: x=log(S/K), vartheta=sigma_x/diff=du/dx
# Delta=dV/dS=vartheta/S, Gamma=d2V/dS2=(u_xx-u_x)/S2 (FD approx)
S,x,u_DPG,delta_DPG,gamma_DPG,delta_exact,gamma_exact,delta_error,gamma_error
5.037394258,-2.98828125,8.862850651e-07,1.303601631e-06,-4.463462117e-07,1.592813719e-48,1.158810974e-46,1.303601631e-06,4.463462117e-07
5.15685262,-2.96484375,1.188815548e-06,1.250281844e-06,5.000886726e-06,8.81588431e-48,6.215343059e-46,1.250281844e-06,5.000886726e-06
5.279143855,-2.94140625,2.278699174e-07,2.512563987e-06,-4.608348043e-07,4.813160395e-47,3.288164097e-45,2.512563987e-06,4.608348043e-07
5.404335144,-2.91796875,1.183001117e-06,1.136233283e-06,-1.602232093e-05,2.592141978e-46,1.715843738e-44,1.136233283e-06,1.602232093e-05
5.532495259,-2.89453125,2.600748622e-06,-1.546713506e-06,-9.988033853e-06,1.377056268e-45,8.831568833e-44,1.546713506e-06,9.988033853e-06
5.663694603,-2.87109375,1.04527508e-06,-1.454257772e-06,7.114074516e-06,7.216215602e-45,4.483672212e-43,1.454257772e-06,7.114074516e-06
5.79800525,-2.84765625,-1.524611458e-06,3.421443558e-07,7.747811471e-06,3.730205011e-44,2.245255273e-42,3.421443558e-07,7.747811471e-06
5.935500982,-2.82421875,-4.484833584e-07,6.516468104e-07,-2.660528216e-06,1.902049321e-43,1.109004907e-41,6.516468104e-07,2.660528216e-06
6.076257332,-2.80078125,1.74609803e-06,-3.981531586e-07,2.367684043e-06,9.567031789e-43,5.403026322e-41,3.981531586e-07,2.367684043e-06
6.220351622,-2.77734375,1.5797745e-06,1.326083125e-06,4.274955225e-06,4.746784758e-42,2.596429721e-40,1.326083125e-06,4.274955225e-06
6.36786301,-2.75390625,1.745630362e-07,8.484480576e-07,-7.129893186e-06,2.323214251e-41,1.230699242e-39,8.484480576e-07,7.129893186e-06
6.518872529,-2.73046875,4.454223706e-08,-8.023390577e-07,-1.371789965e-05,1.121623047e-40,5.753911365e-39,8.023390577e-07,1.371789965e-05
6.673463136,-2.70703125,1.123309604e-06,-3.343743811e-06,-8.549702591e-06,5.341621028e-40,2.653446128e-38,3.343743811e-06,8.549702591e-06
6.831719754,-2.68359375,1.186204829e-06,-3.477089785e-06,-1.097635823e-05,2.509390626e-39,1.206961049e-37,3.477089785e-06,1.097635823e-05
6.993729319,-2.66015625,-8.920095766e-07,-6.859100163e-06,-1.754909759e-05,1.162875171e-38,5.41517016e-37,6.859100163e-06,1.754909759e-05
7.15958083,-2.63671875,-3.131105909e-06,-9.230755814e-06,-1.644509246e-05,5.315794037e-38,2.396441511e-36,9.230755814e-06,1.644509246e-05
7.329365397,-2.61328125,-3.613425143e-06,-1.23786665e-05,-1.457977191e-05,2.397033056e-37,1.046062016e-35,1.23786665e-05,1.457977191e-05
7.503176288,-2.58984375,-6.005723409e-06,-1.424029922e-05,-1.31302304e-05,1.066231122e-36,4.503849859e-35,1.424029922e-05,1.31302304e-05
7.681108986,-2.56640625,-1.110042568e-05,-1.699714087e-05,-1.483442759e-05,4.678436968e-36,1.912697319e-34,1.699714087e-05,1.483442759e-05
7.863261237,-2.54296875,-1.455125692e-05,-1.958195331e-05,-1.698630816e-05,2.024990383e-35,8.012065047e-34,1.958195331e-05,1.698630816e-05
8.049733103,-2.51953125,-1.571495904e-05,-2.325870371e-05,-2.447104537e-05,8.646066638e-35,3.310385393e-33,2.325870371e-05,2.447104537e-05
8.240627022,-2.49609375,-2.167432373e-05,-2.881648858e-05,-2.616334672e-05,3.641567113e-34,1.3491136e-32,2.881648858e-05,2.616334672e-05
