# Phase N2: Gamma reconstruction convergence, V2 ultraweak DPG
# sigma=0.2, r=0.05, T=1.0, K=100.0, domain [-3.0,3.0], Nt=512
# raw = within-element quarter-point gradient
# LSQ-P2 = 9-cell stencil LS poly2; LSQ-P3 = 13-cell LS poly3
# L2-PROJ-P2 = non-overlapping 5-cell macro-element P2
Nx,h,method,price_L2,price_EOC,delta_L2,delta_EOC,gamma_L2,gamma_EOC
32,1.87500000e-01,raw,1.23620000e+00,nan,5.97843462e-03,nan,5.15403441e-03,nan
64,9.37500000e-02,raw,2.81360000e-01,2.13542302e+00,2.06908777e-03,1.53077294e+00,9.86881277e-04,2.38475373e+00
128,4.68750000e-02,raw,6.39910000e-02,2.13647632e+00,5.79398787e-04,1.83636627e+00,6.86320502e-04,5.23994084e-01
256,2.34375000e-02,raw,1.03620000e-02,2.62656652e+00,3.66655717e-04,6.60130628e-01,2.88952943e-04,1.24804789e+00
512,1.17187500e-02,raw,1.34640000e-02,-3.77804593e-01,2.04027100e-03,-2.47626285e+00,1.53304014e-04,9.14439087e-01
32,1.87500000e-01,LSQ-P2,1.23620000e+00,nan,5.97843462e-03,nan,1.21732354e-02,nan
64,9.37500000e-02,LSQ-P2,2.81360000e-01,2.13542302e+00,2.06908777e-03,1.53077294e+00,4.56268761e-03,1.41575687e+00
128,4.68750000e-02,LSQ-P2,6.39910000e-02,2.13647632e+00,5.79398787e-04,1.83636627e+00,1.36857705e-03,1.73720723e+00
256,2.34375000e-02,LSQ-P2,1.03620000e-02,2.62656652e+00,3.66655717e-04,6.60130628e-01,3.64835946e-04,1.90735687e+00
512,1.17187500e-02,LSQ-P2,1.34640000e-02,-3.77804593e-01,2.04027100e-03,-2.47626285e+00,1.29923721e-04,1.48958303e+00
32,1.87500000e-01,LSQ-P3,1.23620000e+00,nan,5.97843462e-03,nan,8.88139690e-03,nan
64,9.37500000e-02,LSQ-P3,2.81360000e-01,2.13542302e+00,2.06908777e-03,1.53077294e+00,2.35459314e-03,1.91530881e+00
128,4.68750000e-02,LSQ-P3,6.39910000e-02,2.13647632e+00,5.79398787e-04,1.83636627e+00,3.06708453e-04,2.94053796e+00
256,2.34375000e-02,LSQ-P3,1.03620000e-02,2.62656652e+00,3.66655717e-04,6.60130628e-01,3.87621975e-05,2.98414566e+00
512,1.17187500e-02,LSQ-P3,1.34640000e-02,-3.77804593e-01,2.04027100e-03,-2.47626285e+00,9.03189858e-05,-1.22037892e+00
32,1.87500000e-01,L2-PROJ-P2,1.23620000e+00,nan,5.97843462e-03,nan,8.54047089e-03,nan
64,9.37500000e-02,L2-PROJ-P2,2.81360000e-01,2.13542302e+00,2.06908777e-03,1.53077294e+00,3.41046883e-03,1.32434554e+00
128,4.68750000e-02,L2-PROJ-P2,6.39910000e-02,2.13647632e+00,5.79398787e-04,1.83636627e+00,6.79621435e-04,2.32716682e+00
256,2.34375000e-02,L2-PROJ-P2,1.03620000e-02,2.62656652e+00,3.66655717e-04,6.60130628e-01,1.83600950e-04,1.88815783e+00
512,1.17187500e-02,L2-PROJ-P2,1.34640000e-02,-3.77804593e-01,2.04027100e-03,-2.47626285e+00,1.00457385e-04,8.69989897e-01
