# Phase N2 snapshots at Nx=512, S in [70, 140]
S,x,Delta_DPG,Delta_exact,Delta_error,Gamma_raw,Gamma_LSQ_P2,Gamma_LSQ_P3,Gamma_PROJ_P2,Gamma_exact
7.07722561e+01,-3.45703125e-01,8.32641628e-02,8.40220735e-02,7.57910779e-04,1.10243804e-02,1.10440533e-02,1.09113928e-02,1.09119275e-02,1.08986065e-02
7.16064971e+01,-3.33984375e-01,9.26749368e-02,9.34305516e-02,7.55614826e-04,1.17882889e-02,1.17969004e-02,1.16699033e-02,1.17056758e-02,1.16577590e-02
7.24505718e+01,-3.22265625e-01,1.02849119e-01,1.03595326e-01,7.46206626e-04,1.25780598e-02,1.25589032e-02,1.24395725e-02,1.24431505e-02,1.24270529e-02
7.33045962e+01,-3.10546875e-01,1.13807765e-01,1.14539564e-01,7.31798612e-04,1.33503678e-02,1.33245160e-02,1.32132461e-02,1.31268489e-02,1.32017099e-02
7.41686876e+01,-2.98828125e-01,1.25554531e-01,1.26282661e-01,7.28129618e-04,1.41152101e-02,1.40887301e-02,1.39862444e-02,1.39206880e-02,1.39765890e-02
7.50429646e+01,-2.87109375e-01,1.38112967e-01,1.38839757e-01,7.26789997e-04,1.48996587e-02,1.48468398e-02,1.47553607e-02,1.47585590e-02,1.47462356e-02
7.59275473e+01,-2.75390625e-01,1.51506079e-01,1.52221269e-01,7.15189422e-04,1.56687741e-02,1.55929975e-02,1.55135258e-02,1.55347223e-02,1.55049408e-02
7.68225572e+01,-2.63671875e-01,1.65724362e-01,1.66432460e-01,7.08098294e-04,1.63965240e-02,1.63209338e-02,1.62533489e-02,1.62519443e-02,1.62468072e-02
7.77281172e+01,-2.51953125e-01,1.80761838e-01,1.81473063e-01,7.11225461e-04,1.71164678e-02,1.70250581e-02,1.69706037e-02,1.69128883e-02,1.69658220e-02
7.86443517e+01,-2.40234375e-01,1.96629199e-01,1.97336942e-01,7.07743240e-04,1.78215224e-02,1.76997500e-02,1.76597642e-02,1.76458507e-02,1.76559364e-02
7.95713864e+01,-2.28515625e-01,2.13312788e-01,2.14011829e-01,6.99040650e-04,1.84698750e-02,1.83388327e-02,1.83128688e-02,1.83144109e-02,1.83111480e-02
8.05093487e+01,-2.16796875e-01,2.30776516e-01,2.31479130e-01,7.02614566e-04,1.90692589e-02,1.89365931e-02,1.89243507e-02,1.89274670e-02,1.89255870e-02
8.14583675e+01,-2.05078125e-01,2.49002506e-01,2.49713810e-01,7.11303759e-04,1.96443224e-02,1.94879455e-02,1.94905300e-02,1.94875807e-02,1.94936028e-02
8.24185729e+01,-1.93359375e-01,2.67973888e-01,2.68684357e-01,7.10469171e-04,2.01662859e-02,1.99878327e-02,2.00053036e-02,1.99972166e-02,2.00098500e-02
8.33900970e+01,-1.81640625e-01,2.87640633e-01,2.88352844e-01,7.12210341e-04,2.06086130e-02,2.04313297e-02,2.04625589e-02,2.04968363e-02,2.04693723e-02
8.43730731e+01,-1.69921875e-01,3.07948912e-01,3.08675078e-01,7.26165319e-04,2.09978473e-02,2.08142148e-02,2.08589645e-02,2.08562361e-02,2.08676807e-02
8.53676361e+01,-1.58203125e-01,3.28864433e-01,3.29600843e-01,7.36409494e-04,2.13412774e-02,2.11327345e-02,2.11912710e-02,2.11752239e-02,2.12008273e-02
8.63739228e+01,-1.46484375e-01,3.50335889e-01,3.51074234e-01,7.38344672e-04,2.15994202e-02,2.13837074e-02,2.14547651e-02,2.14557747e-02,2.14654701e-02
8.73920713e+01,-1.34765625e-01,3.72285019e-01,3.73034081e-01,7.49061907e-04,2.17740036e-02,2.15645841e-02,2.16464581e-02,2.16997870e-02,2.16589285e-02
8.84222214e+01,-1.23046875e-01,3.94646983e-01,3.95414458e-01,7.67474404e-04,2.18908466e-02,2.16734201e-02,2.17654286e-02,2.18561619e-02,2.17792288e-02
8.94645145e+01,-1.11328125e-01,4.17366524e-01,4.18145265e-01,7.78741520e-04,2.19406757e-02,2.17091058e-02,2.18106036e-02,2.18126605e-02,2.18251380e-02
9.05190939e+01,-9.96093750e-02,4.40366507e-01,4.41152887e-01,7.86380570e-04,2.18986107e-02,2.16717168e-02,2.17807233e-02,2.17506480e-02,2.17961840e-02
9.15861043e+01,-8.78906250e-02,4.63556701e-01,4.64360903e-01,8.04201608e-04,2.17786153e-02,2.15615391e-02,2.16763754e-02,2.16712091e-02,2.16926646e-02
9.26656924e+01,-7.61718750e-02,4.86865746e-01,4.87690844e-01,8.25098239e-04,2.16000681e-02,2.13793000e-02,2.14992217e-02,2.15753836e-02,2.15156418e-02
9.37580062e+01,-6.44531250e-02,5.10225581e-01,5.11062996e-01,8.37415629e-04,2.13527117e-02,2.11270690e-02,2.12508379e-02,2.13510396e-02,2.12669239e-02
9.48631959e+01,-5.27343750e-02,5.33550520e-01,5.34397209e-01,8.46689539e-04,2.10210590e-02,2.08077819e-02,2.09334163e-02,2.09310666e-02,2.09490348e-02
9.59814133e+01,-4.10156250e-02,5.56748340e-01,5.57613722e-01,8.65382801e-04,2.06229472e-02,2.04242245e-02,2.05501547e-02,2.05147027e-02,2.05651711e-02
9.71128118e+01,-2.92968750e-02,5.79749966e-01,5.80633983e-01,8.84016686e-04,2.01773509e-02,1.99796459e-02,2.01050350e-02,2.01021078e-02,2.01191489e-02
9.82575469e+01,-1.75781250e-02,6.02488743e-01,6.03381440e-01,8.92697421e-04,1.96729820e-02,1.94787978e-02,1.96022862e-02,1.96934300e-02,1.96153404e-02
9.94157758e+01,-5.85937500e-03,6.24882258e-01,6.25782311e-01,9.00052137e-04,1.91031762e-02,1.89267540e-02,1.90466425e-02,1.91287441e-02,1.90586030e-02
1.00587658e+02,5.85937500e-03,6.46850648e-01,6.47766290e-01,9.15641649e-04,1.84863166e-02,1.83282445e-02,1.84433793e-02,1.84375797e-02,1.84542009e-02
1.01773353e+02,1.75781250e-02,6.68337037e-01,6.69267214e-01,9.30177420e-04,1.78428697e-02,1.76883467e-02,1.77981791e-02,1.77676785e-02,1.78077231e-02
1.02973025e+02,2.92968750e-02,6.89289877e-01,6.90223646e-01,9.33768570e-04,1.71592232e-02,1.70132322e-02,1.71168067e-02,1.71184375e-02,1.71249974e-02
1.04186838e+02,4.10156250e-02,7.09642150e-01,7.10579388e-01,9.37238230e-04,1.64341790e-02,1.63090647e-02,1.64053733e-02,1.64892704e-02,1.64120035e-02
1.05414960e+02,5.27343750e-02,7.29335632e-01,7.30283911e-01,9.48279409e-04,1.56875142e-02,1.55812559e-02,1.56696945e-02,1.57302958e-02,1.56747872e-02
1.06657558e+02,6.44531250e-02,7.48336589e-01,7.49292695e-01,9.56106203e-04,1.49374349e-02,1.48352169e-02,1.49156747e-02,1.49142978e-02,1.49193766e-02
1.07914804e+02,7.61718750e-02,7.66613633e-01,7.67567474e-01,9.53840520e-04,1.41693279e-02,1.40772451e-02,1.41493437e-02,1.41298785e-02,1.41517018e-02
1.09186869e+02,8.78906250e-02,7.84124866e-01,7.85076392e-01,9.51525895e-04,1.33857996e-02,1.33133552e-02,1.33766607e-02,1.33759615e-02,1.33775206e-02
1.10473929e+02,9.96093750e-02,8.00838250e-01,8.01794067e-01,9.55817203e-04,1.26035227e-02,1.25483826e-02,1.26029293e-02,1.26515044e-02,1.26023505e-02
1.11776161e+02,1.11328125e-01,8.16742732e-01,8.17701564e-01,9.58831961e-04,1.18369700e-02,1.17869251e-02,1.18329744e-02,1.18636267e-02,1.18314085e-02
1.13093743e+02,1.23046875e-01,8.31834674e-01,8.32786283e-01,9.51609467e-04,1.10778350e-02,1.10342512e-02,1.10719322e-02,1.10730263e-02,1.10695589e-02
1.14426856e+02,1.34765625e-01,8.46098022e-01,8.47041768e-01,9.43746622e-04,1.03228594e-02,1.02952274e-02,1.03247600e-02,1.03161003e-02,1.03212702e-02
1.15775684e+02,1.46484375e-01,8.59524838e-01,8.60467444e-01,9.42605358e-04,9.58621388e-03,9.57333673e-03,9.59513136e-03,9.59163386e-03,9.59058166e-03
1.17140411e+02,1.58203125e-01,8.72126752e-01,8.73068290e-01,9.41538008e-04,8.88074548e-03,8.87152306e-03,8.88610476e-03,8.89845201e-03,8.88107865e-03
1.18521225e+02,1.69921875e-01,8.83922128e-01,8.84854458e-01,9.32329934e-04,8.19983701e-03,8.19322743e-03,8.20114387e-03,8.20036214e-03,8.19587739e-03
1.19918316e+02,1.81640625e-01,8.94920247e-01,8.95840847e-01,9.20600188e-04,7.53832650e-03,7.54170427e-03,7.54344501e-03,7.54275173e-03,7.53761859e-03
1.21331875e+02,1.93359375e-01,9.05131696e-01,9.06046640e-01,9.14943524e-04,6.90373782e-03,6.91873000e-03,6.91496782e-03,6.91452883e-03,6.90846929e-03
1.22762097e+02,2.05078125e-01,9.14582336e-01,9.15494813e-01,9.12476734e-04,6.30725829e-03,6.32535293e-03,6.31671715e-03,6.31460788e-03,6.31013242e-03
1.24209178e+02,2.16796875e-01,9.23308343e-01,9.24211639e-01,9.03296483e-04,5.74808325e-03,5.76304052e-03,5.75011476e-03,5.74193963e-03,5.74386313e-03
1.25673316e+02,2.28515625e-01,9.31336620e-01,9.32226174e-01,8.89553029e-04,5.21363609e-03,5.23328985e-03,5.21667452e-03,5.19581286e-03,5.21049113e-03
1.27154713e+02,2.40234375e-01,9.38688300e-01,9.39569750e-01,8.81449573e-04,4.70815908e-03,4.73649077e-03,4.71682979e-03,4.71438399e-03,4.71044792e-03
1.28653573e+02,2.51953125e-01,9.45396573e-01,9.46275484e-01,8.78911043e-04,4.24231407e-03,4.27213032e-03,4.24999355e-03,4.25496744e-03,4.24379817e-03
1.30170101e+02,2.63671875e-01,9.51505274e-01,9.52377796e-01,8.72522392e-04,3.81498240e-03,3.83990880e-03,3.81579737e-03,3.81674389e-03,3.81027397e-03
1.31704505e+02,2.75390625e-01,9.57051435e-01,9.57911959e-01,8.60524110e-04,3.41563791e-03,3.43994047e-03,3.41439360e-03,3.39892154e-03,3.40931128e-03
1.33256995e+02,2.87109375e-01,9.62062401e-01,9.62913672e-01,8.51270956e-04,3.04261571e-03,3.07170939e-03,3.04527990e-03,3.01913868e-03,3.04008743e-03
1.34827787e+02,2.98828125e-01,9.66570177e-01,9.67418676e-01,8.48498984e-04,2.70284424e-03,2.73364183e-03,2.70678514e-03,2.70470120e-03,2.70155903e-03
1.36417094e+02,3.10546875e-01,9.70617325e-01,9.71462393e-01,8.45068337e-04,2.39889470e-03,2.42420964e-03,2.39723083e-03,2.40467723e-03,2.39249929e-03
1.38025136e+02,3.22265625e-01,9.74244127e-01,9.75079621e-01,8.35494047e-04,2.12196146e-03,2.14254992e-03,2.11571776e-03,2.11853375e-03,2.11153430e-03
1.39652132e+02,3.33984375e-01,9.77479726e-01,9.78304254e-01,8.24528214e-04,1.86635870e-03,1.88766562e-03,1.86133208e-03,1.84575553e-03,1.85717758e-03
