x1,x2,S1,S2,delta1,delta2
-2.953125,-2.953125,5.217639967,5.217639967,2.873270381e-07,2.885729247e-07
-2.953125,-2.859375,5.217639967,5.730456443,7.489061913e-07,1.697853065e-07
-2.953125,-2.765625,5.217639967,6.293675158,9.927213208e-07,7.791377336e-08
-2.953125,-2.671875,5.217639967,6.912249904,1.075644788e-06,2.03275898e-08
-2.953125,-2.578125,5.217639967,7.591621356,1.027918472e-06,-2.332816257e-08
-2.953125,-2.484375,5.217639967,8.337764926,8.62837409e-07,-5.605890045e-08
-2.953125,-2.390625,5.217639967,9.157243322,6.216862014e-07,-6.765500587e-08
-2.953125,-2.296875,5.217639967,10.05726427,3.166864766e-07,-8.461184498e-08
-2.953125,-2.203125,5.217639967,11.0457439,-7.685935e-09,-7.322848437e-08
-2.953125,-2.109375,5.217639967,12.13137638,-3.3856508e-07,-7.969345593e-08
-2.953125,-2.015625,5.217639967,13.32371041,-6.479741962e-07,-6.053321616e-08
-2.953125,-1.921875,5.217639967,14.63323316,-9.052233419e-07,-5.343768413e-08
-2.953125,-1.828125,5.217639967,16.07146254,-1.089442337e-06,-3.165177205e-08
-2.953125,-1.734375,5.217639967,17.65104849,-1.184462911e-06,-2.13870775e-08
-2.953125,-1.640625,5.217639967,19.38588426,-1.194898708e-06,-6.231730777e-09
-2.953125,-1.546875,5.217639967,21.29122862,-1.1203316e-06,1.400417325e-09
-2.953125,-1.453125,5.217639967,23.38384001,-9.726439509e-07,1.029786391e-08
-2.953125,-1.359375,5.217639967,25.68212401,-7.707230516e-07,1.223267336e-08
-2.953125,-1.265625,5.217639967,28.20629517,-5.321189307e-07,1.572187484e-08
-2.953125,-1.171875,5.217639967,30.97855485,-2.795314018e-07,1.330585487e-08
-2.953125,-1.078125,5.217639967,34.02328646,-4.559419876e-08,1.107396839e-08
-2.953125,-0.984375,5.217639967,37.36726994,1.607794335e-07,7.981639254e-09
-2.953125,-0.890625,5.217639967,41.03991731,3.206083204e-07,4.420513752e-09
-2.953125,-0.796875,5.217639967,45.07353134,4.33621938e-07,1.95073787e-09
-2.953125,-0.703125,5.217639967,49.50358969,4.840083877e-07,-1.979264404e-09
-2.953125,-0.609375,5.217639967,54.36905695,4.637955039e-07,-4.619158961e-09
-2.953125,-0.515625,5.217639967,59.71272734,4.005683288e-07,-4.640818738e-09
-2.953125,-0.421875,5.217639967,65.58160113,3.152316181e-07,-4.945618625e-09
-2.953125,-0.328125,5.217639967,72.027298,1.929480456e-07,-5.903843953e-09
-2.953125,-0.234375,5.217639967,79.10651109,8.073185767e-10,-8.117347527e-09
-2.953125,-0.140625,5.217639967,86.88150563,-1.579766938e-07,-2.385152973e-09
-2.953125,-0.046875,5.217639967,95.4206666,-3.377964155e-07,-7.130873418e-09
-2.953125,0.046875,5.217639967,104.7991002,-4.901144009e-07,-2.535843046e-10
-2.953125,0.140625,5.217639967,115.0992945,-6.237816826e-07,-4.373696939e-09
-2.953125,0.234375,5.217639967,126.4118448,-7.900001539e-07,-9.838851997e-10
-2.953125,0.328125,5.217639967,138.8362507,-8.728279133e-07,-2.489746432e-11
-2.953125,0.421875,5.217639967,152.4817911,-9.569193378e-07,-4.595114971e-10
-2.953125,0.515625,5.217639967,167.4684853,-1.053389677e-06,-4.262137856e-11
-2.953125,0.609375,5.217639967,183.9281489,-1.145101978e-06,-9.840085263e-12
-2.953125,0.703125,5.217639967,202.0055528,-1.237893043e-06,1.354309776e-10
-2.953125,0.796875,5.217639967,221.8596969,-1.33954352e-06,-1.442590669e-10
-2.953125,0.890625,5.217639967,243.6652083,-1.460279801e-06,-3.33987267e-10
-2.953125,0.984375,5.217639967,267.6138775,-1.593121016e-06,-4.398039393e-10
-2.953125,1.078125,5.217639967,293.916345,-1.724387413e-06,-3.894723712e-10
-2.953125,1.171875,5.217639967,322.8039542,-1.836638652e-06,-2.899711024e-10
-2.953125,1.265625,5.217639967,354.5307861,-1.919746581e-06,-1.938310488e-10
-2.953125,1.359375,5.217639967,389.3758942,-1.965238164e-06,-8.844678871e-11
-2.953125,1.453125,5.217639967,427.6457586,-1.95497277e-06,1.323938699e-10
-2.953125,1.546875,5.217639967,469.676982,-1.878531804e-06,2.689443446e-10
-2.953125,1.640625,5.217639967,515.83925,-1.725477635e-06,5.195399018e-10
-2.953125,1.734375,5.217639967,566.5385831,-1.511964596e-06,4.417094239e-10
-2.953125,1.828125,5.217639967,622.2209072,-1.258560506e-06,4.445455406e-10
-2.953125,1.921875,5.217639967,683.3759764,-9.665532856e-07,3.878304547e-10
-2.953125,2.015625,5.217639967,750.5416801,-6.461456577e-07,3.658035983e-10
-2.953125,2.109375,5.217639967,824.3087744,-2.903964225e-07,4.491723252e-10
-2.953125,2.203125,5.217639967,905.326078,5.593007293e-08,2.502310988e-10
-2.953125,2.296875,5.217639967,994.3061786,3.162209455e-07,1.415351169e-11
-2.953125,2.390625,5.217639967,1092.031701,4.672482141e-07,-1.651436498e-10
-2.953125,2.484375,5.217639967,1199.36219,5.377547034e-07,-1.665542943e-10
-2.953125,2.578125,5.217639967,1317.241671,5.47256921e-07,-2.032527748e-10
-2.953125,2.671875,5.217639967,1446.706953,5.238278709e-07,-7.762081085e-11
-2.953125,2.765625,5.217639967,1588.896749,5.280799885e-07,1.004517321e-10
-2.953125,2.859375,5.217639967,1745.061689,3.738007409e-07,-3.910071797e-10
-2.953125,2.953125,5.217639967,1916.575322,1.01560232e-07,-2.959183268e-10
-2.859375,-2.953125,5.730456443,5.217639967,1.710175888e-07,7.639480458e-07
-2.859375,-2.859375,5.730456443,5.730456443,4.703335549e-07,4.702281263e-07
-2.859375,-2.765625,5.730456443,6.293675158,6.921801234e-07,2.271702689e-07
-2.859375,-2.671875,5.730456443,6.912249904,8.072266969e-07,5.717465906e-08
-2.859375,-2.578125,5.730456443,7.591621356,8.300516697e-07,-6.912452473e-08
-2.859375,-2.484375,5.730456443,8.337764926,7.786185143e-07,-1.519832227e-07
-2.859375,-2.390625,5.730456443,9.157243322,6.436337991e-07,-2.04806791e-07
-2.859375,-2.296875,5.730456443,10.05726427,4.582427788e-07,-2.269188549e-07
-2.859375,-2.203125,5.730456443,11.0457439,2.239767244e-07,-2.225016483e-07
-2.859375,-2.109375,5.730456443,12.13137638,-3.264699428e-08,-2.096508131e-07
-2.859375,-2.015625,5.730456443,13.32371041,-2.837788512e-07,-1.738077114e-07
-2.859375,-1.921875,5.730456443,14.63323316,-5.204391044e-07,-1.354485101e-07
-2.859375,-1.828125,5.730456443,16.07146254,-7.10949629e-07,-8.41502997e-08
-2.859375,-1.734375,5.730456443,17.65104849,-8.47650888e-07,-4.357746515e-08
-2.859375,-1.640625,5.730456443,19.38588426,-9.103269202e-07,-4.03086634e-09
-2.859375,-1.546875,5.730456443,21.29122862,-9.056618501e-07,2.329155425e-08
-2.859375,-1.453125,5.730456443,23.38384001,-8.431072224e-07,4.34546496e-08
-2.859375,-1.359375,5.730456443,25.68212401,-7.28983461e-07,5.394033012e-08
-2.859375,-1.265625,5.730456443,28.20629517,-5.716775642e-07,5.947412188e-08
-2.859375,-1.171875,5.730456443,30.97855485,-3.957024448e-07,5.406461795e-08
-2.859375,-1.078125,5.730456443,34.02328646,-2.160367895e-07,4.511579277e-08
-2.859375,-0.984375,5.730456443,37.36726994,-6.248038046e-08,3.364883676e-08
-2.859375,-0.890625,5.730456443,41.03991731,6.980327644e-08,2.357541402e-08
-2.859375,-0.796875,5.730456443,45.07353134,1.63171516e-07,1.228743516e-08
-2.859375,-0.703125,5.730456443,49.50358969,2.093323171e-07,1.232336938e-09
-2.859375,-0.609375,5.730456443,54.36905695,2.107761245e-07,-8.35656186e-09
-2.859375,-0.515625,5.730456443,59.71272734,1.678030145e-07,-1.073316077e-08
-2.859375,-0.421875,5.730456443,65.58160113,9.352335369e-08,-1.327592531e-08
-2.859375,-0.328125,5.730456443,72.027298,-9.322459162e-09,-1.663819514e-08
-2.859375,-0.234375,5.730456443,79.10651109,-1.280258854e-07,-2.142605113e-08
-2.859375,-0.140625,5.730456443,86.88150563,-2.537884314e-07,-1.045299244e-08
-2.859375,-0.046875,5.730456443,95.4206666,-3.906098689e-07,-2.046346978e-08
-2.859375,0.046875,5.730456443,104.7991002,-5.044655331e-07,-4.784639569e-09
-2.859375,0.140625,5.730456443,115.0992945,-5.936633299e-07,-1.393936203e-08
-2.859375,0.234375,5.730456443,126.4118448,-6.727795164e-07,-5.743856743e-09
-2.859375,0.328125,5.730456443,138.8362507,-6.998486271e-07,-3.071116538e-09
-2.859375,0.421875,5.730456443,152.4817911,-7.327550276e-07,-4.789245636e-09
-2.859375,0.515625,5.730456443,167.4684853,-7.53510223e-07,-2.62615234e-09
-2.859375,0.609375,5.730456443,183.9281489,-7.421376814e-07,-2.567199225e-09
-2.859375,0.703125,5.730456443,202.0055528,-7.524742811e-07,-2.66193901e-09
-2.859375,0.796875,5.730456443,221.8596969,-7.772022579e-07,-2.839675672e-09
-2.859375,0.890625,5.730456443,243.6652083,-7.95738041e-07,-2.853277087e-09
-2.859375,0.984375,5.730456443,267.6138775,-8.277543731e-07,-3.081845503e-09
-2.859375,1.078125,5.730456443,293.916345,-8.704900472e-07,-2.457443935e-09
-2.859375,1.171875,5.730456443,322.8039542,-9.080816224e-07,-1.864941903e-09
-2.859375,1.265625,5.730456443,354.5307861,-9.356414043e-07,-1.080720933e-09
-2.859375,1.359375,5.730456443,389.3758942,-9.46178331e-07,-4.158673139e-10
-2.859375,1.453125,5.730456443,427.6457586,-9.348677287e-07,6.380516432e-10
-2.859375,1.546875,5.730456443,469.676982,-8.858371695e-07,1.480893377e-09
-2.859375,1.640625,5.730456443,515.83925,-7.96197927e-07,2.439161506e-09
-2.859375,1.734375,5.730456443,566.5385831,-6.705922753e-07,2.623391342e-09
-2.859375,1.828125,5.730456443,622.2209072,-5.340237327e-07,2.659477153e-09
-2.859375,1.921875,5.730456443,683.3759764,-3.910685794e-07,2.688377719e-09
-2.859375,2.015625,5.730456443,750.5416801,-2.230077058e-07,2.72616372e-09
-2.859375,2.109375,5.730456443,824.3087744,-3.95991711e-08,2.802148643e-09
-2.859375,2.203125,5.730456443,905.326078,1.300479059e-07,2.132979705e-09
-2.859375,2.296875,5.730456443,994.3061786,2.454029258e-07,1.191678531e-09
-2.859375,2.390625,5.730456443,1092.031701,2.638638171e-07,2.919944143e-10
-2.859375,2.484375,5.730456443,1199.36219,2.31664474e-07,7.841399125e-11
-2.859375,2.578125,5.730456443,1317.241671,1.529353004e-07,-4.654689428e-10
-2.859375,2.671875,5.730456443,1446.706953,4.410822064e-08,-3.47284354e-10
-2.859375,2.765625,5.730456443,1588.896749,5.606966602e-08,1.305069235e-10
-2.859375,2.859375,5.730456443,1745.061689,4.166055593e-08,-1.142750113e-09
-2.859375,2.953125,5.730456443,1916.575322,-2.385930472e-08,-6.154791945e-10
-2.765625,-2.953125,6.293675158,5.217639967,8.569098407e-08,1.029558919e-06
-2.765625,-2.859375,6.293675158,5.730456443,2.314500416e-07,6.912433788e-07
-2.765625,-2.765625,6.293675158,6.293675158,3.731737914e-07,3.658094701e-07
-2.765625,-2.671875,6.293675158,6.912249904,4.792996413e-07,1.273328107e-07
-2.765625,-2.578125,6.293675158,7.591621356,5.35721008e-07,-6.656728339e-08
-2.765625,-2.484375,6.293675158,8.337764926,5.287120097e-07,-1.949839739e-07
-2.765625,-2.390625,6.293675158,9.157243322,4.762330794e-07,-2.857677058e-07
-2.765625,-2.296875,6.293675158,10.05726427,3.857672697e-07,-3.157149923e-07
-2.765625,-2.203125,6.293675158,11.0457439,2.5217103e-07,-3.391780706e-07
-2.765625,-2.109375,6.293675158,12.13137638,9.203374338e-08,-3.079008919e-07
-2.765625,-2.015625,6.293675158,13.32371041,-8.565011516e-08,-2.762750466e-07
-2.765625,-1.921875,6.293675158,14.63323316,-2.513109698e-07,-2.06010558e-07
-2.765625,-1.828125,6.293675158,16.07146254,-3.945725855e-07,-1.424696145e-07
-2.765625,-1.734375,6.293675158,17.65104849,-5.028083551e-07,-7.06142856e-08
-2.765625,-1.640625,6.293675158,19.38588426,-5.754989199e-07,-1.824341663e-08
-2.765625,-1.546875,6.293675158,21.29122862,-6.051325644e-07,3.241705142e-08
-2.765625,-1.453125,6.293675158,23.38384001,-5.825505273e-07,6.057881745e-08
-2.765625,-1.359375,6.293675158,25.68212401,-5.27664364e-07,8.153449281e-08
-2.765625,-1.265625,6.293675158,28.20629517,-4.535152925e-07,8.716284766e-08
-2.765625,-1.171875,6.293675158,30.97855485,-3.616898182e-07,8.434526226e-08
-2.765625,-1.078125,6.293675158,34.02328646,-2.682643351e-07,6.865308592e-08
-2.765625,-0.984375,6.293675158,37.36726994,-1.807069679e-07,5.366383523e-08
-2.765625,-0.890625,6.293675158,41.03991731,-1.169790367e-07,3.607285698e-08
-2.765625,-0.796875,6.293675158,45.07353134,-7.824636852e-08,2.039464401e-08
-2.765625,-0.703125,6.293675158,49.50358969,-6.683303543e-08,1.982373565e-09
-2.765625,-0.609375,6.293675158,54.36905695,-8.626478132e-08,-1.016303509e-08
-2.765625,-0.515625,6.293675158,59.71272734,-1.260407264e-07,-1.709153345e-08
-2.765625,-0.421875,6.293675158,65.58160113,-1.847068202e-07,-1.959224096e-08
-2.765625,-0.328125,6.293675158,72.027298,-2.536703028e-07,-2.529165496e-08
-2.765625,-0.234375,6.293675158,79.10651109,-3.302929188e-07,-2.86490043e-08
-2.765625,-0.140625,6.293675158,86.88150563,-3.899974009e-07,-1.673677719e-08
-2.765625,-0.046875,6.293675158,95.4206666,-4.466948412e-07,-2.73312007e-08
-2.765625,0.046875,6.293675158,104.7991002,-4.761996194e-07,-6.863166909e-09
-2.765625,0.140625,6.293675158,115.0992945,-4.847420104e-07,-1.793994647e-08
-2.765625,0.234375,6.293675158,126.4118448,-4.729028577e-07,-5.417137289e-09
-2.765625,0.328125,6.293675158,138.8362507,-4.149326944e-07,-2.621941272e-09
-2.765625,0.421875,6.293675158,152.4817911,-3.555145126e-07,-4.712568608e-09
