# V5 near-barrier Greeks — combined daily + weekly
# K=100.0, T=0.5, r=0.1, sigma=0.2, S_lower=95.0, S_upper=125.0
# S in [90, 130]; Delta = u_x/S (chain rule); Gamma = (u_xx - u_x)/S^2
S,x,u,Delta,Gamma,monitoring
91.39311853,-0.09,0,0,0,daily
94.17645336,-0.06,0,0.2303447043,0.1606130659,daily
97.04455335,-0.03,1.301582838,0.4359630232,-0.01212529051,daily
100,0,2.538470212,0.3524306598,-0.04343439428,daily
103.0454534,0.03,3.416166796,0.2170758744,-0.04535162012,daily
106.1836547,0.06,3.880591126,0.07924917265,-0.04252528473,daily
109.4174284,0.09,3.921064803,-0.04829796496,-0.03649848013,daily
112.7496852,0.12,3.563512778,-0.1548955388,-0.02771057141,daily
116.1834243,0.15,2.873199409,-0.2318195386,-0.01738027878,daily
119.7217363,0.18,1.94749751,-0.2731545468,-0.006303592067,daily
123.367806,0.21,0.9110472117,-0.2631018001,0.01128773941,daily
127.124915,0.24,0,-0.1194425199,0.06357744411,daily
91.39311853,-0.09,0,0,0,weekly
94.17645336,-0.06,0,0.3220997673,0.2245913634,weekly
97.04455335,-0.03,1.820052823,0.5294646968,-0.07119605117,weekly
100,0,3.082899901,0.367332126,-0.0394179213,weekly
103.0454534,0.03,4.024045579,0.2334224762,-0.04821328729,weekly
106.1836547,0.06,4.526087395,0.08753383507,-0.04481599875,weekly
109.4174284,0.09,4.58172533,-0.04810923773,-0.03919993858,weekly
112.7496852,0.12,4.210248051,-0.1644697632,-0.03085248517,weekly
116.1834243,0.15,3.469090489,-0.2527040291,-0.0208138661,weekly
119.7217363,0.18,2.448646885,-0.298704761,-0.005629057502,weekly
123.367806,0.21,1.323403331,-0.3308057648,-0.01178523512,weekly
127.124915,0.24,0,-0.1735043219,0.09235372241,weekly
