# V5 near-barrier Greeks — daily monitoring
# K=100 T=0.5 r=0.1 sigma=0.2 S_lower=95 S_upper=125
S,x,u,Delta,Gamma,monitoring
91.39311853,-0.09,0,0,0,daily
94.17645336,-0.06,0,0.2324913055,0.1621098323,daily
97.04455335,-0.03,1.313712395,0.4382882298,-0.01341403926,daily
100,0,2.55200913,0.3527917189,-0.04351049008,daily
103.0454534,0.03,3.430462709,0.217359991,-0.04532898865,daily
106.1836547,0.06,3.895886659,0.07952312995,-0.04255288139,daily
109.4174284,0.09,3.937106103,-0.04815767988,-0.03655271407,daily
112.7496852,0.12,3.57972929,-0.1549952855,-0.02779929317,daily
116.1834243,0.15,2.888565924,-0.2322120526,-0.01746219519,daily
119.7217363,0.18,1.960977804,-0.273887302,-0.006413065924,daily
123.367806,0.21,0.9211501234,-0.2649229525,0.01081150281,daily
127.124915,0.24,0,-0.1207670585,0.06428247597,daily
