# V5 near-barrier Greeks — monthly monitoring
# K=100 T=0.5 r=0.1 sigma=0.2 S_lower=95 S_upper=125
S,x,u,Delta,Gamma,monitoring
91.39311853,-0.09,0,0,0,monthly
94.17645336,-0.06,0,0.6071954889,0.4233808171,monthly
97.04455335,-0.03,3.431011058,0.8111983784,-0.2606843177,monthly
100,0,4.723343059,0.3959753828,-0.02716105429,monthly
103.0454534,0.03,5.806863355,0.2870824198,-0.04381429642,monthly
106.1836547,0.06,6.498295345,0.1393355015,-0.05010809272,monthly
109.4174284,0.09,6.694572522,-0.02103642223,-0.04905707614,monthly
112.7496852,0.12,6.360190272,-0.1723549534,-0.04192934821,monthly
116.1834243,0.15,5.528594518,-0.2916384443,-0.02793102656,monthly
119.7217363,0.18,4.327177085,-0.3543407191,-0.00808701794,monthly
123.367806,0.21,2.98325735,-0.5845902625,-0.1149415774,monthly
127.124915,0.24,0,-0.3911188913,0.2081866614,monthly
