# V5 near-barrier Greeks — none monitoring
# K=100 T=0.5 r=0.1 sigma=0.2 S_lower=95 S_upper=125
S,x,u,Delta,Gamma,monitoring
91.39311853,-0.09,3.589296661,0.4176891822,0.03005399233,none
94.17645336,-0.06,4.864656852,0.5010222146,0.02980140617,none
97.04455335,-0.03,6.420366375,0.5842869366,0.02827566486,none
100,0,8.26676874,0.6639319668,0.02567035471,none
103.0454534,0.03,10.40395818,0.7368602356,0.02229783099,none
106.1836547,0.06,12.82257456,0.8007787735,0.01852851406,none
109.4174284,0.09,15.50573518,0.8543921668,0.01472539968,none
112.7496852,0.12,18.43169819,0.8974174462,0.01118942083,none
116.1834243,0.15,21.57674725,0.930441573,0.008126237179,none
119.7217363,0.18,24.91781147,0.9546748484,0.005637658326,none
123.367806,0.21,28.43446708,0.9716667309,0.003734011132,none
127.124915,0.24,32.11015503,0.9830443307,0.002359436553,none
