# V5 near-barrier Greeks — weekly monitoring
# K=100 T=0.5 r=0.1 sigma=0.2 S_lower=95 S_upper=125
S,x,u,Delta,Gamma,monitoring
91.39311853,-0.09,0,0,0,weekly
94.17645336,-0.06,0,0.3220997673,0.2245913634,weekly
97.04455335,-0.03,1.820052823,0.5294646968,-0.07119605117,weekly
100,0,3.082899901,0.367332126,-0.0394179213,weekly
103.0454534,0.03,4.024045579,0.2334224762,-0.04821328729,weekly
106.1836547,0.06,4.526087395,0.08753383507,-0.04481599875,weekly
109.4174284,0.09,4.58172533,-0.04810923773,-0.03919993858,weekly
112.7496852,0.12,4.210248051,-0.1644697632,-0.03085248517,weekly
116.1834243,0.15,3.469090489,-0.2527040291,-0.0208138661,weekly
119.7217363,0.18,2.448646885,-0.298704761,-0.005629057502,weekly
123.367806,0.21,1.323403331,-0.3308057648,-0.01178523512,weekly
127.124915,0.24,0,-0.1735043219,0.09235372241,weekly
