# Δ_Asian = U(z0) - z0*U_z(z0) = financial Delta via chain rule (Sec. 3.2)
# delta_reduced_dz = -U_z(z)  (sensitivity in reduced coordinate z)
z,u,du_dz,delta_reduced_dz,delta_Asian_financial,note
-1.98,1.825187565,-0.001002596598,0.001002596598,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.96,1.825157165,-0.002094426215,0.002094426215,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.94,1.825103788,-0.003304202105,0.003304202105,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.92,1.825024997,-0.004639868398,0.004639868398,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.9,1.824918194,-0.006109721836,0.006109721836,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.88,1.824780609,-0.007722415104,0.007722415104,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.86,1.824609297,-0.00948695884,0.00948695884,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.84,1.82440113,-0.01141272214,0.01141272214,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.82,1.824152788,-0.01350943137,0.01350943137,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.8,1.823860753,-0.01578716717,0.01578716717,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.78,1.823521301,-0.01825635924,0.01825635924,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.76,1.823130499,-0.020927779,0.020927779,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.74,1.82268419,-0.0238125296,0.0238125296,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.72,1.822177997,-0.0269220332,0.0269220332,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.7,1.821607309,-0.03026801526,0.03026801526,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.68,1.820967277,-0.0338624855,0.0338624855,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.66,1.82025281,-0.0377177154,0.0377177154,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.64,1.819458568,-0.04184621177,0.04184621177,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.62,1.818578961,-0.04626068632,0.04626068632,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.6,1.817608141,-0.05097402079,0.05097402079,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.58,1.81654,-0.05599922746,0.05599922746,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.56,1.815368172,-0.06134940467,0.06134940467,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.54,1.814086024,-0.06703768713,0.06703768713,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.52,1.812686664,-0.07307719079,0.07307719079,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.5,1.811162936,-0.07948095186,0.07948095186,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.48,1.809507426,-0.08626186003,0.08626186003,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.46,1.807712462,-0.09343258532,0.09343258532,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.44,1.805770123,-0.1010054988,0.1010054988,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.42,1.803672242,-0.1089925864,0.1089925864,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.4,1.801410419,-0.117405357,0.117405357,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.38,1.798976028,-0.1262547427,0.1262547427,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.36,1.796360229,-0.1355509937,0.1355509937,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.34,1.793553988,-0.1453035658,0.1453035658,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.32,1.790548087,-0.1555210021,0.1555210021,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.3,1.787333148,-0.1662108086,0.1662108086,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.28,1.783899654,-0.1773793242,0.1773793242,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.26,1.780237975,-0.1890315855,0.1890315855,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.24,1.776338391,-0.201171187,0.201171187,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.22,1.772191127,-0.2138001384,0.2138001384,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.2,1.767786386,-0.2269187181,0.2269187181,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.18,1.763114379,-0.2405253261,0.2405253261,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.16,1.758165372,-0.2546163358,0.2546163358,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.14,1.752929725,-0.2691859474,0.2691859474,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.12,1.747397935,-0.2842260447,0.2842260447,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.1,1.741560684,-0.2997260554,0.2997260554,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
-1.08,1.735408892,-0.3156728192,0.3156728192,0.5972690617,Delta_Asian=U-z0*Uz;z0=K/S0=1.000000;sigma=0.300000
