# Asian Greeks: Rogers-Shi reduction z=(K-A/T)/S, z0=K/S0=1.0
# delta_reduced_dz = -dU/dz  (reduced-coordinate sensitivity)
# delta_Asian_financial = U(z0) - z0*U_z(z0)  (financial Delta, Sec. 3.2)
sigma,z,u,delta_reduced_dz,delta_Asian_financial,note
0.05,-1.9900000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.9800000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.9700000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.9600000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.9500000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.9400000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.9300000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.9200000000,1.9952863000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.9100000000,1.9952863000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.9000000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.8900000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.8800000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.8700000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.8600000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.8500000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.8400000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.8300000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.8200000000,1.9952863000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
