x,S,u_h,u_exact,error
-3,4.978706837,0,4.476238312e-50,4.476238312e-50
-2.9765625,5.096773467,-3.125490647e-59,2.573598144e-49,2.573598144e-49
-2.953125,5.217639967,2.395094836e-57,1.459679933e-48,1.45967993e-48
-2.9296875,5.341372733,1.329157305e-56,8.167041106e-48,8.167041092e-48
-2.90625,5.468039737,-7.90843496e-57,4.50778193e-47,4.507781931e-47
-2.8828125,5.597710562,-4.637835196e-55,2.454443165e-46,2.454443169e-46
-2.859375,5.730456443,-2.231149121e-54,1.31836565e-45,1.318365652e-45
-2.8359375,5.866350301,2.618817951e-54,6.985741468e-45,6.985741465e-45
-2.8125,6.00546679,8.631411621e-53,3.651605103e-44,3.651605095e-44
-2.7890625,6.14788233,4.101457349e-52,1.883001761e-43,1.883001757e-43
-2.765625,6.293675158,-3.886542025e-52,9.578869413e-43,9.578869417e-43
-2.7421875,6.442925364,-1.564188428e-50,4.807014034e-42,4.80701405e-42
-2.71875,6.595714936,-8.312136929e-50,2.379771004e-41,2.379771012e-41
-2.6953125,6.752127808,-8.701060977e-51,1.162236857e-40,1.162236857e-40
-2.671875,6.912249904,2.673469113e-48,5.59957283e-40,5.599572803e-40
-2.6484375,7.076169187,1.776679036e-47,2.661442205e-39,2.661442187e-39
-2.625,7.243975703,3.023287404e-47,1.247906961e-38,1.247906958e-38
-2.6015625,7.415761637,-3.839455839e-46,5.772335533e-38,5.772335571e-38
-2.578125,7.591621356,-3.686828438e-45,2.634063967e-37,2.634064004e-37
-2.5546875,7.771651468,-1.340939994e-44,1.18578973e-36,1.185789744e-36
-2.53125,7.955950872,2.642962876e-44,5.266194922e-36,5.266194895e-36
-2.5078125,8.14462081,6.496670312e-43,2.307253677e-35,2.307253612e-35
-2.484375,8.337764926,4.037691527e-42,9.972505022e-35,9.972504619e-35
-2.4609375,8.535489323,9.1767851e-42,4.252311242e-34,4.252311151e-34
-2.4375,8.73790262,-6.556322901e-41,1.788788898e-33,1.788788963e-33
-2.4140625,8.945116009,-8.462762117e-40,7.423485103e-33,7.423485949e-33
-2.390625,9.157243322,-4.72747245e-39,3.039294442e-32,3.039294914e-32
-2.3671875,9.374401089,-1.050481424e-38,1.227595858e-31,1.227595963e-31
-2.34375,9.596708604,7.445591893e-38,4.891671908e-31,4.891671163e-31
-2.3203125,9.824287991,1.023655091e-36,1.923003618e-30,1.923002594e-30
-2.296875,10.05726427,6.574289044e-36,7.458052051e-30,7.458045476e-30
-2.2734375,10.29576542,2.4058144e-35,2.853612166e-29,2.85360976e-29
-2.25,10.53992246,-8.717284283e-36,1.077185417e-28,1.077185504e-28
-2.2265625,10.78986951,-9.447018335e-34,4.01156436e-28,4.011573807e-28
-2.203125,11.0457439,-8.914658231e-33,1.473895523e-27,1.473904438e-27
-2.1796875,11.30768616,-5.473010017e-32,5.342581829e-27,5.342636559e-27
-2.15625,11.57584021,-2.329905822e-31,1.910597395e-26,1.910620694e-26
-2.1328125,11.85035335,-4.199503542e-31,6.740975111e-26,6.741017106e-26
-2.109375,12.13137638,4.117135096e-30,2.346464026e-25,2.346422854e-25
-2.0859375,12.41906369,6.019615088e-29,8.058326627e-25,8.057724666e-25
-2.0625,12.71357329,5.132103646e-28,2.730347001e-24,2.729833791e-24
-2.0390625,13.015067,3.547360168e-27,9.127148762e-24,9.123601402e-24
-2.015625,13.32371041,2.161113961e-26,3.010225874e-23,3.00806476e-23
-1.9921875,13.6396731,1.202482977e-25,9.795173954e-23,9.783149125e-23
-1.96875,13.96312863,6.229190905e-25,3.144682886e-22,3.138453695e-22
-1.9453125,14.29425468,3.039976668e-24,9.960836255e-22,9.930436488e-22
-1.921875,14.63323316,1.408838338e-23,3.112946629e-21,3.098858246e-21
-1.8984375,14.98025029,6.235888896e-23,9.598585993e-21,9.536227105e-21
-1.875,15.33549668,2.647663127e-22,2.92015182e-20,2.893675189e-20
-1.8515625,15.69916751,1.081993754e-21,8.765347966e-20,8.657148591e-20
-1.828125,16.07146254,4.267438088e-21,2.595981098e-19,2.553306717e-19
-1.8046875,16.45258629,1.628033967e-20,7.585875444e-19,7.423072048e-19
-1.78125,16.84274813,6.019071526e-20,2.187182392e-18,2.126991677e-18
-1.7578125,17.24216239,2.160032563e-19,6.222183545e-18,6.006180288e-18
-1.734375,17.65104849,7.534517993e-19,1.746556715e-17,1.671211535e-17
-1.7109375,18.06963104,2.557633192e-18,4.837358657e-17,4.581595338e-17
-1.6875,18.49813999,8.458038417e-18,1.321975486e-16,1.237395102e-16
-1.6640625,18.93681074,2.727465512e-17,3.564773747e-16,3.292027196e-16
-1.640625,19.38588426,8.583684737e-17,9.48501628e-16,8.626647806e-16
-1.6171875,19.84560726,2.638417316e-16,2.490267332e-15,2.2264256e-15
-1.59375,20.31623228,7.926251791e-16,6.451490253e-15,5.658865074e-15
-1.5703125,20.79801784,2.328732805e-15,1.649243858e-14,1.416370578e-14
-1.546875,21.29122862,6.694969007e-15,4.160305404e-14,3.490808503e-14
-1.5234375,21.79613556,1.884447915e-14,1.035585586e-13,8.471407949e-14
-1.5,22.31301601,5.19563e-14,2.543737926e-13,2.024174926e-13
-1.4765625,22.84215394,1.403805796e-13,6.165803234e-13,4.761997438e-13
-1.453125,23.38384001,3.718544166e-13,1.474835044e-12,1.102980627e-12
-1.4296875,23.9383718,9.660641106e-13,3.481284523e-12,2.515220412e-12
-1.40625,24.50605392,2.462436075e-12,8.109310117e-12,5.646874043e-12
-1.3828125,25.08719825,6.160258873e-12,1.86415881e-11,1.248132923e-11
-1.359375,25.68212401,1.513031381e-11,4.229052474e-11,2.716021093e-11
-1.3359375,26.29115803,3.649587291e-11,9.468283437e-11,5.818696146e-11
-1.3125,26.91463487,8.647905393e-11,2.092062132e-10,1.227271592e-10
-1.2890625,27.55289705,2.013572472e-10,4.56205499e-10,2.548482518e-10
-1.265625,28.20629517,4.60812725e-10,9.81831257e-10,5.21018532e-10
-1.2421875,28.87518818,1.036784867e-09,2.085507406e-09,1.048722538e-09
-1.21875,29.55994354,2.29382801e-09,4.372136173e-09,2.078308163e-09
-1.1953125,30.2609374,4.99157299e-09,9.046729302e-09,4.055156311e-09
-1.171875,30.97855485,1.068588387e-08,1.847629177e-08,7.790407895e-09
-1.1484375,31.71319011,2.250961541e-08,3.724543916e-08,1.473582375e-08
-1.125,32.46524674,4.66653845e-08,7.410998025e-08,2.744459574e-08
-1.1015625,33.23513788,9.522961189e-08,1.455580878e-07,5.03284759e-08
-1.078125,34.02328646,1.913276708e-07,2.822040836e-07,9.087641281e-08
-1.0546875,34.83012544,3.785189223e-07,5.400940286e-07,1.615751064e-07
-1.03125,35.65609807,7.375209151e-07,1.020391897e-06,2.82870982e-07
-1.0078125,36.50165806,1.415495847e-06,1.903133329e-06,4.87637482e-07
-0.984375,37.36726994,2.676448176e-06,3.504206829e-06,8.277586526e-07
-0.9609375,38.25340921,4.98645165e-06,6.370051992e-06,1.383600342e-06
-0.9375,39.16056267,9.155282513e-06,1.143257699e-05,2.277294481e-06
-0.9140625,40.08922865,1.656771197e-05,2.025858903e-05,3.69087706e-06
