# V4 2D basket call-on-min — rho=0
# K=100 T=1 r=0.05 sigma1=0.2 sigma2=0.2
# N_x=64 N_y=64 N_t=500 p=1 delta_p=2
x1,x2,S1,S2,u_DPG,delta1,delta2
-2.953125,-2.953125,5.217639967,5.217639967,2.947532718e-08,1.032854807e-07,1.033171341e-07
-2.953125,-2.859375,5.217639967,5.730456443,-6.118762821e-09,2.978255649e-07,8.292273561e-08
-2.953125,-2.765625,5.217639967,6.293675158,4.441512661e-08,4.637644201e-07,6.214994554e-08
-2.953125,-2.671875,5.217639967,6.912249904,3.868726469e-08,6.048300548e-07,4.979626632e-08
-2.953125,-2.578125,5.217639967,7.591621356,2.375626774e-08,6.984364631e-07,1.901673585e-08
-2.953125,-2.484375,5.217639967,8.337764926,7.267835577e-08,7.397550134e-07,8.547074413e-09
-2.953125,-2.390625,5.217639967,9.157243322,3.34198976e-08,7.369578898e-07,-9.548286272e-09
-2.953125,-2.296875,5.217639967,10.05726427,8.389074191e-08,6.956489113e-07,-1.270134935e-08
-2.953125,-2.203125,5.217639967,11.0457439,-4.91125296e-09,6.333529587e-07,-1.801776257e-08
-2.953125,-2.109375,5.217639967,12.13137638,5.433911314e-08,5.303172244e-07,-2.784267591e-08
-2.953125,-2.015625,5.217639967,13.32371041,2.769955416e-08,4.130878943e-07,-2.069770307e-08
-2.953125,-1.921875,5.217639967,14.63323316,2.307150677e-08,2.89282948e-07,-2.532550251e-08
-2.953125,-1.828125,5.217639967,16.07146254,4.157354464e-08,1.748258152e-07,-1.415099544e-08
-2.953125,-1.734375,5.217639967,17.65104849,-1.348625137e-08,7.584107557e-08,-1.645877344e-08
-2.953125,-1.640625,5.217639967,19.38588426,4.044452369e-08,-7.297224101e-09,-7.386056206e-09
-2.953125,-1.546875,5.217639967,21.29122862,-4.357738169e-10,-5.501843094e-08,-5.078469627e-09
-2.953125,-1.453125,5.217639967,23.38384001,5.982321249e-08,-7.664810647e-08,-2.009648362e-10
-2.953125,-1.359375,5.217639967,25.68212401,-8.390625437e-11,-5.485180638e-08,4.533839976e-09
-2.953125,-1.265625,5.217639967,28.20629517,4.569194195e-08,-1.08875877e-08,4.007956259e-09
-2.953125,-1.171875,5.217639967,30.97855485,2.894999071e-08,5.622859595e-08,7.59376049e-09
-2.953125,-1.078125,5.217639967,34.02328646,6.745355824e-08,1.3853721e-07,5.702249927e-09
-2.953125,-0.984375,5.217639967,37.36726994,2.994702084e-08,2.361434585e-07,8.402200088e-09
-2.953125,-0.890625,5.217639967,41.03991731,6.851505675e-08,3.30628693e-07,4.367901918e-09
-2.953125,-0.796875,5.217639967,45.07353134,4.209741181e-08,4.200452107e-07,6.351142671e-09
-2.953125,-0.703125,5.217639967,49.50358969,5.075068645e-08,4.935671543e-07,1.958747168e-09
-2.953125,-0.609375,5.217639967,54.36905695,6.297861268e-08,5.328619769e-07,1.983602084e-09
-2.953125,-0.515625,5.217639967,59.71272734,3.931979446e-08,5.697414594e-07,1.409679536e-09
-2.953125,-0.421875,5.217639967,65.58160113,4.794079991e-08,5.871791581e-07,1.091726859e-10
-2.953125,-0.328125,5.217639967,72.027298,-1.836146733e-08,5.715029339e-07,-1.25176335e-09
-2.953125,-0.234375,5.217639967,79.10651109,9.667106154e-08,5.052308034e-07,-3.215781434e-09
-2.953125,-0.140625,5.217639967,86.88150563,-3.467418018e-08,4.831649802e-07,1.565280079e-09
-2.953125,-0.046875,5.217639967,95.4206666,5.713646346e-08,4.171453392e-07,-5.01232967e-09
-2.953125,0.046875,5.217639967,104.7991002,1.007031415e-08,3.388657783e-07,6.488659379e-10
-2.953125,0.140625,5.217639967,115.0992945,1.315380232e-08,2.906621671e-07,-2.786022531e-09
-2.953125,0.234375,5.217639967,126.4118448,1.850609165e-08,1.90921312e-07,-1.582785829e-09
-2.953125,0.328125,5.217639967,138.8362507,4.197737499e-08,1.25923597e-07,-1.011636403e-09
-2.953125,0.421875,5.217639967,152.4817911,-8.967725919e-09,7.652948302e-08,-7.796452355e-10
-2.953125,0.515625,5.217639967,167.4684853,1.43616113e-08,8.275299707e-11,-1.671699487e-09
