# V5 discrete barrier call — daily monitoring
# K=100 T=0.5 r=0.1 sigma=0.2 S_lower=95 S_upper=125
# N_monitoring=125
x,S,u_daily
-3,4.978706837,0
-2.97,5.130331033,0
-2.94,5.286572874,0
-2.91,5.447572987,0
-2.88,5.613476283,0
-2.85,5.784432087,0
-2.82,5.960594271,0
-2.79,6.142121392,0
-2.76,6.329176836,0
-2.73,6.521928967,0
-2.7,6.720551274,0
-2.67,6.925222531,0
-2.64,7.136126956,0
-2.61,7.353454376,0
-2.58,7.577400402,0
-2.55,7.8081666,0
-2.52,8.045960675,0
-2.49,8.290996658,0
-2.46,8.543495097,0
-2.43,8.803683258,0
-2.4,9.071795329,0
-2.37,9.348072628,0
-2.34,9.632763823,0
-2.31,9.926125156,0
-2.28,10.22842067,0
-2.25,10.53992246,0
-2.22,10.86091088,0
-2.19,11.19167486,0
-2.16,11.5325121,0
-2.13,11.88372939,0
-2.1,12.24564283,0
-2.07,12.61857817,0
-2.04,13.00287109,0
-2.01,13.39886747,0
-1.98,13.80692373,0
-1.95,14.22740716,0
-1.92,14.66069621,0
-1.89,15.10718088,0
-1.86,15.56726304,0
-1.83,16.04135678,0
-1.8,16.52988882,0
-1.77,17.03329888,0
-1.74,17.55204006,0
-1.71,18.08657926,0
-1.68,18.6373976,0
-1.65,19.20499086,0
-1.62,19.78986991,0
-1.59,20.39256117,0
-1.56,21.01360712,0
-1.53,21.65356673,0
-1.5,22.31301601,0
-1.47,22.99254852,0
-1.44,23.69277587,0
-1.41,24.41432832,0
-1.38,25.15785531,0
-1.35,25.92402606,0
-1.32,26.7135302,0
-1.29,27.52707831,0
-1.26,28.36540265,0
-1.23,29.22925777,0
-1.2,30.11942119,0
-1.17,31.03669413,0
-1.14,31.98190218,0
-1.11,32.95589611,0
-1.08,33.95955256,0
-1.05,34.99377491,0
-1.02,36.05949402,0
-0.99,37.1576691,0
-0.96,38.2892886,0
-0.93,39.45537104,0
-0.9,40.65696597,0
-0.87,41.89515492,0
-0.84,43.17105234,0
-0.81,44.48580662,0
-0.78,45.84060113,0
-0.75,47.23665527,0
-0.72,48.6752256,0
-0.69,50.15760691,0
-0.66,51.68513345,0
-0.63,53.2591801,0
-0.6,54.88116361,0
-0.57,56.55254387,0
-0.54,58.27482524,0
-0.51,60.04955788,0
-0.48,61.87833918,0
-0.45,63.76281516,0
-0.42,65.70468198,0
-0.39,67.70568745,0
-0.36,69.76763261,0
-0.33,71.89237334,0
-0.3,74.08182207,0
-0.27,76.33794943,0
-0.24,78.66278611,0
-0.21,81.0584246,0
-0.18,83.52702114,0
-0.15,86.07079764,0
-0.12,88.69204367,0
-0.09,91.39311853,0
-0.06,94.17645336,0
-0.03,97.04455335,1.301582838
0,100,2.538470212
0.03,103.0454534,3.416166796
0.06,106.1836547,3.880591126
0.09,109.4174284,3.921064803
0.12,112.7496852,3.563512778
0.15,116.1834243,2.873199409
0.18,119.7217363,1.94749751
0.21,123.367806,0.9110472117
0.24,127.124915,0
0.27,130.9964451,0
0.3,134.9858808,0
0.33,139.0968128,0
0.36,143.3329415,0
0.39,147.6980794,0
0.42,152.1961556,0
0.45,156.8312185,0
0.48,161.6074402,0
0.51,166.5291195,0
0.54,171.6006862,0
0.57,176.8267051,0
0.6,182.21188,0
0.63,187.7610579,0
0.66,193.4792334,0
0.69,199.3715533,0
0.72,205.4433211,0
0.75,211.7000017,0
0.78,218.1472265,0
0.81,224.7907987,0
0.84,231.6366977,0
0.87,238.6910854,0
0.9,245.9603111,0
0.93,253.4509178,0
0.96,261.1696473,0
0.99,269.1234472,0
1.02,277.3194764,0
1.05,285.7651118,0
1.08,294.4679551,0
1.11,303.4358394,0
1.14,312.6768365,0
1.17,322.1992639,0
1.2,332.0116923,0
1.23,342.1229536,0
1.26,352.5421487,0
1.29,363.2786556,0
1.32,374.3421377,0
1.35,385.7425531,0
1.38,397.4901627,0
1.41,409.5955404,0
1.44,422.0695817,0
1.47,434.9235141,0
1.5,448.168907,0
1.53,461.8176822,0
1.56,475.8821245,0
1.59,490.3748928,0
1.62,505.3090317,0
1.65,520.6979827,0
1.68,536.5555971,0
1.71,552.8961478,0
1.74,569.7343423,0
1.77,587.0853361,0
1.8,604.9647464,0
1.83,623.3886659,0
1.86,642.3736771,0
1.89,661.9368681,0
1.92,682.0958469,0
1.95,702.8687581,0
1.98,724.2742985,0
2.01,746.3317347,0
2.04,769.0609199,0
2.07,792.4823118,0
2.1,816.6169913,0
2.13,841.4866811,0
2.16,867.1137658,0
2.19,893.5213115,0
2.22,920.7330866,0
2.25,948.7735836,0
2.28,977.668041,0
2.31,1007.442466,0
2.34,1038.123656,0
2.37,1069.739228,0
2.4,1102.317638,0
2.43,1135.888208,0
2.46,1170.481154,0
2.49,1206.127612,0
2.52,1242.859666,0
2.55,1280.710378,0
2.58,1319.713816,0
2.61,1359.905085,0
2.64,1401.320361,0
2.67,1443.996919,0
2.7,1487.973172,0
2.73,1533.288702,0
2.76,1579.984295,0
2.79,1628.10198,0
2.82,1677.685067,0
2.85,1728.778184,0
2.88,1781.427318,0
2.91,1835.679857,0
2.94,1891.584631,0
2.97,1949.19196,0
3,2008.553692,1913.43075
