# V5 discrete barrier call — none monitoring
# K=100 T=0.5 r=0.1 sigma=0.2 S_lower=95 S_upper=125
# N_monitoring=0
x,S,u_european
-3,4.978706837,0
-2.985,5.053950355,4.157703849e-102
-2.97,5.130331033,1.742698052e-101
-2.955,5.207866058,-8.235455209e-101
-2.94,5.286572874,-6.521326557e-100
-2.925,5.366469191,1.090221735e-99
-2.91,5.447572987,2.084718623e-98
-2.895,5.529902509,1.161573035e-98
-2.88,5.613476283,-5.742811936e-97
-2.865,5.698313113,-1.585570626e-96
-2.85,5.784432087,1.300187266e-95
-2.835,5.871852583,7.573743623e-95
-2.82,5.960594271,-1.968942318e-94
-2.805,6.050677117,-2.673597714e-93
-2.79,6.142121392,-9.543318504e-94
-2.775,6.234947669,7.532758113e-92
-2.76,6.329176836,2.256565681e-91
-2.745,6.424830094,-1.591674108e-90
-2.73,6.521928967,-1.099515733e-89
-2.715,6.620495301,1.554965288e-89
-2.7,6.720551274,3.679515907e-88
-2.685,6.8221194,6.342622375e-88
-2.67,6.925222531,-8.921804707e-87
-2.655,7.029883867,-4.647493065e-86
-2.64,7.136126956,1.162800507e-85
-2.625,7.243975703,1.756977165e-84
-2.61,7.353454376,2.389609854e-84
-2.595,7.464587607,-4.420841639e-83
-2.58,7.577400402,-2.250560113e-82
-2.565,7.691918144,5.228284459e-82
-2.55,7.8081666,8.645612029e-81
-2.535,7.926171926,1.635264215e-80
-2.52,8.045960675,-1.984229146e-79
-2.505,8.167559799,-1.260911342e-78
-2.49,8.290996658,1.024375388e-78
-2.475,8.416299026,4.235995934e-77
-2.46,8.543495097,1.430745374e-76
-2.445,8.67261349,-6.900472529e-76
-2.43,8.803683258,-7.323066256e-75
-2.415,8.936733892,-1.085632298e-74
-2.4,9.071795329,1.763561885e-73
-2.385,9.208897958,1.134892639e-72
-2.37,9.348072628,-1.83129766e-73
-2.355,9.489350653,-3.595074748e-71
-2.34,9.632763823,-1.673223865e-70
-2.325,9.778344405,2.96550533e-70
-2.31,9.926125156,6.695516812e-69
-2.295,10.07613933,2.483619394e-68
-2.28,10.22842067,-8.085368276e-68
-2.265,10.38300345,-1.207518266e-66
-2.25,10.53992246,-3.955958771e-66
-2.235,10.69921299,1.643997678e-65
-2.22,10.86091088,2.171348562e-64
-2.205,11.02505253,7.130396002e-64
-2.19,11.19167486,-2.786529363e-63
-2.175,11.36081537,-3.921659585e-62
-2.16,11.5325121,-1.46205106e-61
-2.145,11.7068037,3.66639465e-61
-2.13,11.88372939,6.995095848e-60
-2.115,12.06332896,3.245440965e-59
-2.1,12.24564283,-1.766462016e-59
-2.085,12.43071202,-1.172035252e-57
-2.07,12.61857817,-7.250387539e-57
-2.055,12.80928356,-1.088734286e-56
-2.04,13.00287109,1.62953553e-55
-2.025,13.19938432,1.505631629e-54
