# V5 discrete barrier call — weekly monitoring
# K=100 T=0.5 r=0.1 sigma=0.2 S_lower=95 S_upper=125
# N_monitoring=26
x,S,u_weekly
-3,4.978706837,0
-2.985,5.053950355,0
-2.97,5.130331033,0
-2.955,5.207866058,0
-2.94,5.286572874,0
-2.925,5.366469191,0
-2.91,5.447572987,0
-2.895,5.529902509,0
-2.88,5.613476283,0
-2.865,5.698313113,0
-2.85,5.784432087,0
-2.835,5.871852583,0
-2.82,5.960594271,0
-2.805,6.050677117,0
-2.79,6.142121392,0
-2.775,6.234947669,0
-2.76,6.329176836,0
-2.745,6.424830094,0
-2.73,6.521928967,0
-2.715,6.620495301,0
-2.7,6.720551274,0
-2.685,6.8221194,0
-2.67,6.925222531,0
-2.655,7.029883867,0
-2.64,7.136126956,0
-2.625,7.243975703,0
-2.61,7.353454376,0
-2.595,7.464587607,0
-2.58,7.577400402,0
-2.565,7.691918144,0
-2.55,7.8081666,0
-2.535,7.926171926,0
-2.52,8.045960675,0
-2.505,8.167559799,0
-2.49,8.290996658,0
-2.475,8.416299026,0
-2.46,8.543495097,0
-2.445,8.67261349,0
-2.43,8.803683258,0
-2.415,8.936733892,0
-2.4,9.071795329,0
-2.385,9.208897958,0
-2.37,9.348072628,0
-2.355,9.489350653,0
-2.34,9.632763823,0
-2.325,9.778344405,0
-2.31,9.926125156,0
-2.295,10.07613933,0
-2.28,10.22842067,0
-2.265,10.38300345,0
-2.25,10.53992246,0
-2.235,10.69921299,0
-2.22,10.86091088,0
-2.205,11.02505253,0
-2.19,11.19167486,0
-2.175,11.36081537,0
-2.16,11.5325121,0
-2.145,11.7068037,0
-2.13,11.88372939,0
-2.115,12.06332896,0
-2.1,12.24564283,0
-2.085,12.43071202,0
-2.07,12.61857817,0
-2.055,12.80928356,0
-2.04,13.00287109,0
-2.025,13.19938432,0
-2.01,13.39886747,0
-1.995,13.60136542,0
-1.98,13.80692373,0
-1.965,14.01558866,0
-1.95,14.22740716,0
-1.935,14.44242688,0
-1.92,14.66069621,0
-1.905,14.88226426,0
-1.89,15.10718088,0
-1.875,15.33549668,0
-1.86,15.56726304,0
-1.845,15.80253209,0
-1.83,16.04135678,0
-1.815,16.28379084,0
-1.8,16.52988882,0
-1.785,16.7797061,0
-1.77,17.03329888,0
-1.755,17.29072423,0
-1.74,17.55204006,0
-1.725,17.81730518,0
-1.71,18.08657926,0
-1.695,18.3599229,0
-1.68,18.6373976,0
-1.665,18.9190658,0
-1.65,19.20499086,0
-1.635,19.49523713,0
-1.62,19.78986991,0
-1.605,20.08895549,0
