S0,K,z0,DPG_price,Asian_Delta
100,95,0.95,8.921078891,0.9229806017
100,100,1,4.934635971,0.746711164
100,105,1.05,2.134080227,0.5261656543
100,95,0.95,9.1586621,0.879852408
100,100,1,5.483417873,0.6952171018
100,105,1.05,2.839575137,0.5184694074
100,95,0.95,10.27263978,0.7783630389
100,100,1,7.143647602,0.6270372843
100,105,1.05,4.726599714,0.514148884
100,95,0.95,11.87806438,0.7132354557
100,100,1,9.085812774,0.5972690617
100,105,1.05,6.810228742,0.517360542
100,95,0.95,11.11409492,0.9175989075
100,100,1,7.044462462,0.8317056507
100,105,1.05,3.694574517,0.6795510049
100,95,0.95,11.22784549,0.8934645811
100,100,1,7.39678618,0.776873001
100,105,1.05,4.31224628,0.6376557542
100,95,0.95,12.0021835,0.8078458413
100,100,1,8.721263912,0.6848788744
100,105,1.05,6.051058693,0.5845335422
100,95,0.95,13.33603711,0.7388592557
100,100,1,10.44290184,0.6365262285
100,105,1.05,8.018179874,0.5627585951
100,100,1,5.036315515,0.7387593785
100,100,1,5.115886046,0.8076190604
100,100,1,4.931580314,0.7190085124
100,100,1,5.020554311,0.7354674931
100,100,1,5.033671722,0.7380942519
100,100,1,8.881423885,0.6008785131
100,100,1,8.957988323,0.6797769967
100,100,1,8.86250575,0.6000197673
100,100,1,8.877069043,0.6006768663
100,100,1,8.880560576,0.6008383658
100,100,1,6.814015421,0.6380464272
100,100,1,11.07188634,0.5894030853
100,100,1,9.261167034,0.5962650483
100,100,1,8.144002072,0.6074726579
100,100,1,7.499545025,0.6187818103
100,100,1,7.148690064,0.6274195516
100,100,1,6.965064477,0.6329110205
100,100,1,4.418349803,0.8508199525
100,100,1,5.033671722,0.7380942519
100,100,1,6.85212789,0.6366928035
100,100,1,8.880560576,0.6008383658
100,100,1,4.934635971,0.746711164
100,100,1,5.483417873,0.6952171018
100,100,1,7.143647602,0.6270372843
100,100,1,9.085812774,0.5972690617
100,95,0.95,8.921078891,0.9229806017
100,100,1,4.934635971,0.746711164
100,105,1.05,2.134080227,0.5261656543
100,95,0.95,9.1586621,0.879852408
100,100,1,5.483417873,0.6952171018
100,105,1.05,2.839575137,0.5184694074
100,95,0.95,10.27263978,0.7783630389
100,100,1,7.143647602,0.6270372843
100,105,1.05,4.726599714,0.514148884
100,95,0.95,11.87806438,0.7132354557
100,100,1,9.085812774,0.5972690617
100,105,1.05,6.810228742,0.517360542
100,95,0.95,11.11409492,0.9175989075
100,100,1,7.044462462,0.8317056507
100,105,1.05,3.694574517,0.6795510049
100,95,0.95,11.22784549,0.8934645811
100,100,1,7.39678618,0.776873001
100,105,1.05,4.31224628,0.6376557542
100,95,0.95,12.0021835,0.8078458413
100,100,1,8.721263912,0.6848788744
100,105,1.05,6.051058693,0.5845335422
100,95,0.95,13.33603711,0.7388592557
100,100,1,10.44290184,0.6365262285
100,105,1.05,8.018179874,0.5627585951
100,100,1,5.036315515,0.7387593785
100,100,1,5.115886046,0.8076190604
100,100,1,4.931580314,0.7190085124
100,100,1,5.020554311,0.7354674931
100,100,1,5.033671722,0.7380942519
100,100,1,8.881423885,0.6008785131
100,100,1,8.957988323,0.6797769967
100,100,1,8.86250575,0.6000197673
100,100,1,8.877069043,0.6006768663
100,100,1,8.880560576,0.6008383658
100,100,1,6.814015421,0.6380464272
100,100,1,11.07188634,0.5894030853
100,100,1,9.261167034,0.5962650483
100,100,1,8.144002072,0.6074726579
100,100,1,7.499545025,0.6187818103
100,100,1,7.148690064,0.6274195516
100,100,1,6.965064477,0.6329110205
100,100,1,4.418349803,0.8508199525
100,100,1,5.033671722,0.7380942519
100,100,1,6.85212789,0.6366928035
100,100,1,8.880560576,0.6008383658
100,100,1,4.934635971,0.746711164
100,100,1,5.483417873,0.6952171018
100,100,1,7.143647602,0.6270372843
100,100,1,9.085812774,0.5972690617
