# V6 Asian option solution: Rogers-Shi reduction z=(K-A/T)/S
# delta_reduced_dz = -du/dz  (sensitivity w.r.t. reduced coordinate)
# delta_Asian_financial = U(z0) - z0*U_z(z0)  (financial Delta via chain rule)
# z0=1  sigma=0.2  r=0.09  K=100  S0=100  T=1
z,u,du_dz,delta_reduced_dz,delta_Asian_financial
-1.99,1.912485607,-0.0001317380064,0.0001317380064,0.6329110205
-1.98,1.912483612,-0.0002750483659,0.0002750483659,0.6329110205
-1.97,1.912480107,-0.0004341082264,0.0004341082264,0.6329110205
-1.96,1.912474929,-0.0006100401475,0.0006100401475,0.6329110205
-1.95,1.912467906,-0.0008040257899,0.0008040257899,0.6329110205
-1.94,1.912458849,-0.001017308035,0.001017308035,0.6329110205
-1.93,1.91244756,-0.00125119312,0.00125119312,0.6329110205
-1.92,1.912433825,-0.00150705278,0.00150705278,0.6329110205
-1.91,1.912417419,-0.001786326399,0.001786326399,0.6329110205
-1.9,1.912398099,-0.002090523155,0.002090523155,0.6329110205
-1.89,1.912375608,-0.002421224158,0.002421224158,0.6329110205
-1.88,1.912349674,-0.002780084571,0.002780084571,0.6329110205
-1.87,1.912320006,-0.003168835708,0.003168835708,0.6329110205
-1.86,1.912286297,-0.003589287099,0.003589287099,0.6329110205
-1.85,1.912248221,-0.004043328516,0.004043328516,0.6329110205
-1.84,1.912205431,-0.004532931942,0.004532931942,0.6329110205
-1.83,1.912157562,-0.005060153485,0.005060153485,0.6329110205
-1.82,1.912104228,-0.005627135218,0.005627135218,0.6329110205
-1.81,1.912045019,-0.00623610693,0.00623610693,0.6329110205
-1.8,1.911979506,-0.006889387785,0.006889387785,0.6329110205
-1.79,1.911907232,-0.007589387872,0.007589387872,0.6329110205
-1.78,1.911827718,-0.008338609623,0.008338609623,0.6329110205
-1.77,1.911740459,-0.009139649107,0.009139649107,0.6329110205
-1.76,1.911644925,-0.009995197152,0.009995197152,0.6329110205
-1.75,1.911540555,-0.01090804031,0.01090804031,0.6329110205
-1.74,1.911426764,-0.01188106164,0.01188106164,0.6329110205
-1.73,1.911302934,-0.01291724127,0.01291724127,0.6329110205
-1.72,1.911168419,-0.01401965672,0.01401965672,0.6329110205
-1.71,1.911022541,-0.01519148307,0.01519148307,0.6329110205
-1.7,1.910864589,-0.01643599275,0.01643599275,0.6329110205
-1.69,1.910693821,-0.01775655511,0.01775655511,0.6329110205
-1.68,1.910509458,-0.01915663573,0.01915663573,0.6329110205
-1.67,1.910310688,-0.02063979527,0.02063979527,0.6329110205
-1.66,1.910096662,-0.02220968816,0.02220968816,0.6329110205
-1.65,1.909866495,-0.02387006075,0.02387006075,0.6329110205
-1.64,1.909619261,-0.0256247492,0.0256247492,0.6329110205
-1.63,1.909354,-0.02747767686,0.02747767686,0.6329110205
-1.62,1.909069708,-0.02943285129,0.02943285129,0.6329110205
-1.61,1.908765343,-0.03149436077,0.03149436077,0.6329110205
-1.6,1.908439821,-0.03366637036,0.03366637036,0.6329110205
-1.59,1.908092015,-0.03595311743,0.03595311743,0.6329110205
-1.58,1.907720758,-0.03835890667,0.03835890667,0.6329110205
-1.57,1.907324837,-0.0408881046,0.0408881046,0.6329110205
-1.56,1.906902996,-0.04354513342,0.04354513342,0.6329110205
-1.55,1.906453934,-0.04633446431,0.04633446431,0.6329110205
-1.54,1.905976307,-0.04926061018,0.04926061018,0.6329110205
-1.53,1.905468722,-0.05232811766,0.05232811766,0.6329110205
-1.52,1.904929744,-0.05554155859,0.05554155859,0.6329110205
-1.51,1.904357891,-0.05890552071,0.05890552071,0.6329110205
-1.5,1.903751634,-0.06242459779,0.06242459779,0.6329110205
-1.49,1.903109399,-0.06610337896,0.06610337896,0.6329110205
-1.48,1.902429566,-0.06994643747,0.06994643747,0.6329110205
-1.47,1.90171047,-0.07395831861,0.07395831861,0.6329110205
-1.46,1.9009504,-0.07814352703,0.07814352703,0.6329110205
-1.45,1.9001476,-0.0825065133,0.0825065133,0.6329110205
-1.44,1.89930027,-0.08705165972,0.08705165972,0.6329110205
-1.43,1.898406567,-0.09178326553,0.09178326553,0.6329110205
-1.42,1.897464604,-0.09670553136,0.09670553136,0.6329110205
-1.41,1.896472456,-0.101822543,0.101822543,0.6329110205
-1.4,1.895428154,-0.1071382544,0.1071382544,0.6329110205
-1.39,1.894329691,-0.1126564706,0.1126564706,0.6329110205
-1.38,1.893175024,-0.1183808289,0.1183808289,0.6329110205
-1.37,1.891962074,-0.1243147807,0.1243147807,0.6329110205
-1.36,1.890688729,-0.1304615723,0.1304615723,0.6329110205
-1.35,1.889352843,-0.1368242248,0.1368242248,0.6329110205
-1.34,1.887952244,-0.1434055141,0.1434055141,0.6329110205
-1.33,1.886484733,-0.1502079506,0.1502079506,0.6329110205
-1.32,1.884948085,-0.1572337581,0.1572337581,0.6329110205
-1.31,1.883340057,-0.1644848527,0.1644848527,0.6329110205
-1.3,1.881658388,-0.1719628219,0.1719628219,0.6329110205
-1.29,1.879900801,-0.1796689027,0.1796689027,0.6329110205
-1.28,1.87806501,-0.1876039609,0.1876039609,0.6329110205
-1.27,1.876148722,-0.1957684696,0.1957684696,0.6329110205
-1.26,1.874149641,-0.204162488,0.204162488,0.6329110205
-1.25,1.872065472,-0.2127856414,0.2127856414,0.6329110205
-1.24,1.869893928,-0.2216371005,0.2216371005,0.6329110205
-1.23,1.86763273,-0.230715562,0.230715562,0.6329110205
-1.22,1.865279617,-0.2400192297,0.2400192297,0.6329110205
-1.21,1.862832345,-0.2495457967,0.2495457967,0.6329110205
-1.2,1.860288701,-0.259292428,0.259292428,0.6329110205
-1.19,1.857646497,-0.2692557449,0.2692557449,0.6329110205
-1.18,1.854903586,-0.2794318104,0.2794318104,0.6329110205
-1.17,1.852057861,-0.289816116,0.289816116,0.6329110205
-1.16,1.849107263,-0.3004035704,0.3004035704,0.6329110205
-1.15,1.846049789,-0.3111884895,0.3111884895,0.6329110205
-1.14,1.842883494,-0.3221645889,0.3221645889,0.6329110205
-1.13,1.839606497,-0.333324978,0.333324978,0.6329110205
-1.12,1.836216994,-0.3446621567,0.3446621567,0.6329110205
-1.11,1.832713254,-0.356168014,0.356168014,0.6329110205
-1.1,1.829093634,-0.3678338302,0.3678338302,0.6329110205
-1.09,1.825356578,-0.3796502804,0.3796502804,0.6329110205
-1.08,1.821500628,-0.3916074417,0.3916074417,0.6329110205
-1.07,1.817524429,-0.4036948034,0.4036948034,0.6329110205
-1.06,1.813426732,-0.4159012799,0.4159012799,0.6329110205
-1.05,1.809206403,-0.4282152266,0.4282152266,0.6329110205
-1.04,1.804862428,-0.4406244597,0.4406244597,0.6329110205
-1.03,1.800393914,-0.453116279,0.453116279,0.6329110205
-1.02,1.795800102,-0.4656774936,0.4656774936,0.6329110205
-1.01,1.791080364,-0.4782944515,0.4782944515,0.6329110205
-1,1.786234213,-0.4909530727,0.4909530727,0.6329110205
-0.99,1.781261303,-0.5036388852,0.5036388852,0.6329110205
-0.98,1.776161435,-0.5163370648,0.5163370648,0.6329110205
-0.97,1.770934562,-0.5290324778,0.5290324778,0.6329110205
-0.96,1.765580786,-0.5417097269,0.5417097269,0.6329110205
-0.95,1.760100367,-0.5543532002,0.5543532002,0.6329110205
-0.94,1.754493722,-0.5669471236,0.5669471236,0.6329110205
-0.93,1.748761424,-0.5794756147,0.5794756147,0.6329110205
-0.92,1.742904209,-0.59192274,0.59192274,0.6329110205
-0.91,1.73692297,-0.6042725745,0.6042725745,0.6329110205
-0.9,1.730818758,-0.6165092625,0.6165092625,0.6329110205
-0.89,1.724592784,-0.6286170802,0.6286170802,0.6329110205
-0.88,1.718246416,-0.6405805002,0.6405805002,0.6329110205
-0.87,1.711781174,-0.6523842559,0.6523842559,0.6329110205
-0.86,1.705198731,-0.664013407,0.664013407,0.6329110205
-0.85,1.698500906,-0.675453405,0.675453405,0.6329110205
-0.84,1.691689663,-0.6866901582,0.6866901582,0.6329110205
-0.83,1.684767103,-0.6977100954,0.6977100954,0.6329110205
-0.82,1.677735461,-0.7085002296,0.7085002296,0.6329110205
-0.81,1.670597099,-0.7190482177,0.7190482177,0.6329110205
-0.8,1.663354497,-0.7293424204,0.7293424204,0.6329110205
-0.79,1.65601025,-0.7393719569,0.7393719569,0.6329110205
-0.78,1.648567058,-0.749126758,0.749126758,0.6329110205
-0.77,1.641027715,-0.7585976141,0.7585976141,0.6329110205
-0.76,1.633395105,-0.7677762201,0.7677762201,0.6329110205
-0.75,1.625672191,-0.7766552144,0.7766552144,0.6329110205
-0.74,1.617862001,-0.7852282135,0.7852282135,0.6329110205
-0.73,1.609967626,-0.7934898407,0.7934898407,0.6329110205
-0.72,1.601992204,-0.8014357485,0.8014357485,0.6329110205
-0.71,1.593938911,-0.8090626358,0.8090626358,0.6329110205
-0.7,1.585810952,-0.8163682572,0.8163682572,0.6329110205
-0.69,1.577611546,-0.8233514269,0.8233514269,0.6329110205
-0.68,1.569343923,-0.8300120147,0.8300120147,0.6329110205
-0.67,1.561011306,-0.8363509355,0.8363509355,0.6329110205
-0.66,1.552616904,-0.8423701322,0.8423701322,0.6329110205
-0.65,1.544163903,-0.8480725506,0.8480725506,0.6329110205
-0.64,1.535655453,-0.853462109,0.853462109,0.6329110205
-0.63,1.527094661,-0.8585436599,0.8585436599,0.6329110205
-0.62,1.51848458,-0.8633229465,0.8633229465,0.6329110205
-0.61,1.509828202,-0.8678065524,0.8678065524,0.6329110205
-0.6,1.501128449,-0.8720018463,0.8720018463,0.6329110205
-0.59,1.492388165,-0.875916922,0.875916922,0.6329110205
-0.58,1.483610111,-0.8795605334,0.8795605334,0.6329110205
-0.57,1.474796955,-0.8829420255,0.8829420255,0.6329110205
-0.56,1.46595127,-0.8860712636,0.8860712636,0.6329110205
-0.55,1.457075529,-0.8889585584,0.8889585584,0.6329110205
-0.54,1.448172099,-0.8916145904,0.8916145904,0.6329110205
-0.53,1.439243237,-0.8940503335,0.8940503335,0.6329110205
-0.52,1.430291092,-0.8962769774,0.8962769774,0.6329110205
-0.51,1.421317698,-0.8983058525,0.8983058525,0.6329110205
-0.5,1.412324975,-0.900148354,0.900148354,0.6329110205
-0.49,1.403314731,-0.9018158699,0.9018158699,0.6329110205
-0.48,1.394288658,-0.9033197115,0.9033197115,0.6329110205
-0.47,1.385248337,-0.9046710464,0.9046710464,0.6329110205
-0.46,1.376195237,-0.9058808374,0.9058808374,0.6329110205
-0.45,1.36713072,-0.9069597846,0.9069597846,0.6329110205
-0.44,1.358056041,-0.9079182737,0.9079182737,0.6329110205
-0.43,1.348972354,-0.9087663293,0.9087663293,0.6329110205
-0.42,1.339880715,-0.9095135744,0.9095135744,0.6329110205
-0.41,1.330782083,-0.9101691958,0.9101691958,0.6329110205
-0.4,1.321677331,-0.9107419161,0.9107419161,0.6329110205
-0.39,1.312567245,-0.9112399712,0.9112399712,0.6329110205
-0.38,1.303452531,-0.9116710952,0.9116710952,0.6329110205
-0.37,1.294333823,-0.9120425099,0.9120425099,0.6329110205
-0.36,1.285211681,-0.9123609212,0.9123609212,0.6329110205
-0.35,1.276086604,-0.9126325206,0.9126325206,0.6329110205
-0.34,1.266959031,-0.9128629914,0.9128629914,0.6329110205
-0.33,1.257829344,-0.91305752,0.91305752,0.6329110205
-0.32,1.24869788,-0.9132208116,0.9132208116,0.6329110205
-0.31,1.239564928,-0.9133571082,0.9133571082,0.6329110205
-0.3,1.230430738,-0.9134702113,0.9134702113,0.6329110205
-0.29,1.221295524,-0.9135635058,0.9135635058,0.6329110205
-0.28,1.212159468,-0.9136399863,0.9136399863,0.6329110205
-0.27,1.203022724,-0.9137022849,0.9137022849,0.6329110205
-0.26,1.193885422,-0.9137526993,0.9137526993,0.6329110205
-0.25,1.18474767,-0.9137932213,0.9137932213,0.6329110205
-0.24,1.175609558,-0.9138255657,0.9138255657,0.6329110205
-0.23,1.166471159,-0.9138511979,0.9138511979,0.6329110205
-0.22,1.157332534,-0.913871361,0.913871361,0.6329110205
-0.21,1.148193732,-0.9138871012,0.9138871012,0.6329110205
-0.2,1.139054792,-0.9138992924,0.9138992924,0.6329110205
-0.19,1.129915746,-0.9139086584,0.9139086584,0.6329110205
-0.18,1.120776619,-0.9139157941,0.9139157941,0.6329110205
-0.17,1.11163743,-0.9139211839,0.9139211839,0.6329110205
-0.16,1.102498195,-0.9139252189,0.9139252189,0.6329110205
-0.15,1.093358926,-0.9139282122,0.9139282122,0.6329110205
-0.14,1.084219631,-0.9139304118,0.9139304118,0.6329110205
-0.13,1.075080317,-0.9139320125,0.9139320125,0.6329110205
-0.12,1.065940991,-0.9139331658,0.9139331658,0.6329110205
-0.11,1.056801654,-0.9139339882,0.9139339882,0.6329110205
-0.1,1.047662311,-0.9139345685,0.9139345685,0.6329110205
-0.09,1.038522963,-0.9139349734,0.9139349734,0.6329110205
-0.08,1.029383611,-0.9139352529,0.9139352529,0.6329110205
-0.07,1.020244258,-0.9139354435,0.9139354435,0.6329110205
-0.06,1.011104902,-0.913935572,0.913935572,0.6329110205
-0.05,1.001965546,-0.9139356576,0.9139356576,0.6329110205
-0.04,0.9928261893,-0.9139357138,0.9139357138,0.6329110205
-0.03,0.9836868319,-0.9139357503,0.9139357503,0.6329110205
-0.02,0.9745474743,-0.9139357738,0.9139357738,0.6329110205
-0.01,0.9654081164,-0.9139357885,0.9139357885,0.6329110205
0,0.9562687585,-0.9139357977,0.9139357977,0.6329110205
0.01,0.9471294005,-0.9139358035,0.9139358035,0.6329110205
0.02,0.9379900424,-0.9139358068,0.9139358068,0.6329110205
0.03,0.9288506844,-0.9139358089,0.9139358089,0.6329110205
0.04,0.9197113263,-0.9139358102,0.9139358102,0.6329110205
0.05,0.9105719681,-0.9139358108,0.9139358108,0.6329110205
0.06,0.90143261,-0.9139358111,0.9139358111,0.6329110205
0.07,0.8922932519,-0.9139358115,0.9139358115,0.6329110205
0.08,0.8831538938,-0.9139358116,0.9139358116,0.6329110205
0.09,0.8740145357,-0.9139358116,0.9139358116,0.6329110205
0.1,0.8648751776,-0.9139358117,0.9139358117,0.6329110205
0.11,0.8557358195,-0.9139358117,0.9139358117,0.6329110205
0.12,0.8465964613,-0.9139358117,0.9139358117,0.6329110205
0.13,0.8374571032,-0.9139358117,0.9139358117,0.6329110205
0.14,0.8283177451,-0.9139358117,0.9139358117,0.6329110205
0.15,0.819178387,-0.9139358117,0.9139358117,0.6329110205
0.16,0.8100390289,-0.9139358117,0.9139358117,0.6329110205
0.17,0.8008996708,-0.9139358117,0.9139358117,0.6329110205
0.18,0.7917603126,-0.9139358117,0.9139358117,0.6329110205
0.19,0.7826209545,-0.9139358117,0.9139358117,0.6329110205
0.2,0.7734815964,-0.9139358117,0.9139358117,0.6329110205
0.21,0.7643422383,-0.9139358117,0.9139358117,0.6329110205
0.22,0.7552028802,-0.9139358117,0.9139358117,0.6329110205
0.23,0.7460635221,-0.9139358117,0.9139358117,0.6329110205
0.24,0.7369241639,-0.9139358117,0.9139358117,0.6329110205
0.25,0.7277848058,-0.9139358117,0.9139358117,0.6329110205
0.26,0.7186454477,-0.9139358117,0.9139358117,0.6329110205
0.27,0.7095060896,-0.9139358117,0.9139358117,0.6329110205
0.28,0.7003667315,-0.9139358117,0.9139358117,0.6329110205
0.29,0.6912273734,-0.9139358117,0.9139358117,0.6329110205
0.3,0.6820880152,-0.9139358117,0.9139358117,0.6329110205
0.31,0.6729486571,-0.9139358117,0.9139358117,0.6329110205
0.32,0.663809299,-0.9139358117,0.9139358117,0.6329110205
0.33,0.6546699409,-0.9139358117,0.9139358117,0.6329110205
0.34,0.6455305828,-0.9139358117,0.9139358117,0.6329110205
0.35,0.6363912246,-0.9139358117,0.9139358117,0.6329110205
0.36,0.6272518665,-0.9139358117,0.9139358117,0.6329110205
0.37,0.6181125084,-0.9139358117,0.9139358117,0.6329110205
0.38,0.6089731503,-0.9139358117,0.9139358117,0.6329110205
0.39,0.5998337922,-0.9139358117,0.9139358117,0.6329110205
0.4,0.5906944341,-0.9139358117,0.9139358117,0.6329110205
0.41,0.5815550759,-0.9139358117,0.9139358117,0.6329110205
0.42,0.5724157178,-0.9139358117,0.9139358117,0.6329110205
0.43,0.5632763597,-0.9139358117,0.9139358117,0.6329110205
0.44,0.5541370016,-0.9139358117,0.9139358117,0.6329110205
0.45,0.5449976435,-0.9139358117,0.9139358117,0.6329110205
0.46,0.5358582854,-0.9139358117,0.9139358117,0.6329110205
0.47,0.5267189272,-0.9139358117,0.9139358117,0.6329110205
0.48,0.5175795691,-0.9139358117,0.9139358117,0.6329110205
0.49,0.508440211,-0.9139358117,0.9139358117,0.6329110205
0.5,0.4993008529,-0.9139358117,0.9139358117,0.6329110205
0.51,0.4901614948,-0.9139358117,0.9139358117,0.6329110205
0.52,0.4810221367,-0.9139358116,0.9139358116,0.6329110205
0.53,0.4718827785,-0.9139358113,0.9139358113,0.6329110205
0.54,0.4627434204,-0.9139358104,0.9139358104,0.6329110205
0.55,0.4536040623,-0.9139358075,0.9139358075,0.6329110205
0.56,0.4444647043,-0.913935799,0.913935799,0.6329110205
0.57,0.4353253464,-0.9139357762,0.9139357762,0.6329110205
0.58,0.4261859888,-0.9139357183,0.9139357183,0.6329110205
0.59,0.417046632,-0.9139355795,0.9139355795,0.6329110205
0.6,0.4079072772,-0.913935264,0.913935264,0.6329110205
0.61,0.3987679267,-0.9139345814,0.9139345814,0.6329110205
0.62,0.3896285855,-0.9139331704,0.9139331704,0.6329110205
0.63,0.3804892633,-0.9139303753,0.9139303753,0.6329110205
0.64,0.371349978,-0.9139250549,0.9139250549,0.6329110205
0.65,0.3622107622,-0.9139152984,0.9139152984,0.6329110205
0.66,0.3530716721,-0.9138980233,0.9138980233,0.6329110205
0.67,0.3439328017,-0.9138684279,0.9138684279,0.6329110205
0.68,0.3347943035,-0.9138192764,0.9138192764,0.6329110205
0.69,0.3256564162,-0.9137400059,0.9137400059,0.6329110205
0.7,0.3165195034,-0.9136156545,0.9136156545,0.6329110205
0.71,0.3073841031,-0.9134256354,0.9134256354,0.6329110205
0.72,0.2982509907,-0.9131423994,0.9131423994,0.6329110205
0.73,0.2891212551,-0.912730057,0.912730057,0.6329110205
0.74,0.2799963895,-0.9121430527,0.9121430527,0.6329110205
0.75,0.2708783941,-0.9113250065,0.9113250065,0.6329110205
0.76,0.2617698894,-0.9102078452,0.9102078452,0.6329110205
0.77,0.2526742372,-0.9087113534,0.9087113534,0.6329110205
