z,S_equivalent,u,u_z,sigma
-1.9800000000,nan,1.9993011980,0.0000000000,0.05
-1.9600000000,nan,1.9993011980,0.0000000000,0.05
-1.9400000000,nan,1.9993011980,0.0000000000,0.05
-1.9200000000,nan,1.9993011980,0.0000000000,0.05
-1.9000000000,nan,1.9993011980,0.0000000000,0.05
-1.8800000000,nan,1.9993011980,0.0000000000,0.05
-1.8600000000,nan,1.9993011980,0.0000000000,0.05
-1.8400000000,nan,1.9993011980,-0.0000000000,0.05
-1.8200000000,nan,1.9993011980,-0.0000000000,0.05
-1.8000000000,nan,1.9993011980,-0.0000000000,0.05
-1.7800000000,nan,1.9993011980,-0.0000000000,0.05
-1.7600000000,nan,1.9993011980,-0.0000000001,0.05
-1.7400000000,nan,1.9993011980,-0.0000000004,0.05
-1.7200000000,nan,1.9993011980,-0.0000000016,0.05
-1.7000000000,nan,1.9993011980,-0.0000000055,0.05
-1.6800000000,nan,1.9993011980,-0.0000000181,0.05
-1.6600000000,nan,1.9993011980,-0.0000000572,0.05
-1.6400000000,nan,1.9993011960,-0.0000001724,0.05
-1.6200000000,nan,1.9993011910,-0.0000004960,0.05
-1.6000000000,nan,1.9993011760,-0.0000013658,0.05
-1.5800000000,nan,1.9993011360,-0.0000036023,0.05
-1.5600000000,nan,1.9993010320,-0.0000091098,0.05
-1.5400000000,nan,1.9993007720,-0.0000221083,0.05
-1.5200000000,nan,1.9993001480,-0.0000515283,0.05
-1.5000000000,nan,1.9992987110,-0.0001154180,0.05
-1.4800000000,nan,1.9992955310,-0.0002485997,0.05
-1.4600000000,nan,1.9992887670,-0.0005151852,0.05
-1.4400000000,nan,1.9992749240,-0.0010277242,0.05
-1.4200000000,nan,1.9992476580,-0.0019744144,0.05
-1.4000000000,nan,1.9991959470,-0.0036545536,0.05
-1.3800000000,nan,1.9991014760,-0.0065199238,0.05
-1.3600000000,nan,1.9989351500,-0.0112159822,0.05
-1.3400000000,nan,1.9986528360,-0.0186120591,0.05
-1.3200000000,nan,1.9981906680,-0.0298054683,0.05
-1.3000000000,nan,1.9974606180,-0.0460824894,0.05
-1.2800000000,nan,1.9963473680,-0.0688218870,0.05
-1.2600000000,nan,1.9947077420,-0.0993356746,0.05
-1.2400000000,nan,1.9923739410,-0.1386571690,0.05
-1.2200000000,nan,1.9891614550,-0.1873053037,0.05
-1.2000000000,nan,1.9848817290,-0.2450712561,0.05
-1.1800000000,nan,1.9793586050,-0.3108818540,0.05
-1.1600000000,nan,1.9724464550,-0.3827881807,0.05
-1.1400000000,nan,1.9640470780,-0.4581054657,0.05
-1.1200000000,nan,1.9541222360,-0.5336957331,0.05
-1.1000000000,nan,1.9426992480,-0.6063473151,0.05
-1.0800000000,nan,1.9298683440,-0.6731773191,0.05
-1.0600000000,nan,1.9157721560,-0.7319745513,0.05
-1.0400000000,nan,1.9005893620,-0.7814150200,0.05
-1.0200000000,nan,1.8845155550,-0.8211154988,0.05
-1.0000000000,nan,1.8677447420,-0.8515316908,0.05
-0.9800000000,nan,1.8504542870,-0.8737430001,0.05
-0.9600000000,nan,1.8327950220,-0.8891854606,0.05
-0.9400000000,nan,1.8148868690,-0.8993944966,0.05
-0.9200000000,nan,1.7968192420,-0.9058030662,0.05
-0.9000000000,nan,1.7786547460,-0.9096167082,0.05
-0.8800000000,nan,1.7604345730,-0.9117641210,0.05
-0.8600000000,nan,1.7421841810,-0.9129058234,0.05
-0.8400000000,nan,1.7239183400,-0.9134774694,0.05
-0.8200000000,nan,1.7056450830,-0.9137462500,0.05
-0.8000000000,nan,1.6873684900,-0.9138644751,0.05
-0.7800000000,nan,1.6690905040,-0.9139128617,0.05
-0.7600000000,nan,1.6508119760,-0.9139312763,0.05
-0.7400000000,nan,1.6325332530,-0.9139376617,0.05
-0.7200000000,nan,1.6142544700,-0.9139396382,0.05
-0.7000000000,nan,1.5959756670,-0.9139403258,0.05
-0.6800000000,nan,1.5776968560,-0.9139403743,0.05
-0.6600000000,nan,1.5594180520,-0.9139403760,0.05
-0.6400000000,nan,1.5411392410,-0.9139405690,0.05
-0.6200000000,nan,1.5228604290,-0.9139403252,0.05
-0.6000000000,nan,1.5045816280,-0.9139404088,0.05
-0.5800000000,nan,1.4863028130,-0.9139406436,0.05
-0.5600000000,nan,1.4680240030,-0.9139401832,0.05
-0.5400000000,nan,1.4497452060,-0.9139405051,0.05
-0.5200000000,nan,1.4314663820,-0.9139406972,0.05
-0.5000000000,nan,1.4131875780,-0.9139399904,0.05
-0.4800000000,nan,1.3949087830,-0.9139406878,0.05
